delta_fitness_via,delta_fitness_conc, apoCellsMovementProba, needSigCellsMvtProba, layersAroundNLC, antiApoBoost, monoPhagoEff, nlcPhagoEff, macroPhagoEff, macroKillEff, cllSensingDistance, monocyteSensingDistance, nlcSensingDistance, macrophageSensingDistance, nlcThreshold, signalInitMean, signalInitStd, monoDiffThreshold , monoDiffTimeStd, gammaLifeInitRate, gammaLifeInitShape
240.93856016755177,1808.2512999999997,1, 2, 1, 174, 57, 8, 28, 4, 2, 3, 3, 3, 118, 38, 41, 69, 38, 2488, 0.3133579251617955
243.40191609395788,1785.403299999999,1, 2, 1, 174, 57, 8, 28, 4, 2, 3, 3, 3, 118, 38, 41, 69, 38, 2488, 0.3133579251617955
243.4386948049515,1784.2252999999992,1, 2, 1, 174, 57, 8, 28, 4, 2, 3, 3, 3, 118, 38, 41, 69, 38, 2488, 0.3133579251617955
243.62537083409592,1779.2162999999994,1, 2, 1, 174, 57, 8, 28, 4, 2, 3, 3, 3, 118, 38, 41, 69, 38, 2488, 0.3133579251617955
243.63231436180985,1774.2072999999996,1, 2, 1, 174, 57, 8, 28, 4, 2, 3, 3, 3, 118, 38, 41, 69, 38, 2488, 0.3133579251617955
244.6893032560152,1582.845299999999,1, 2, 2, 174, 57, 45, 28, 4, 2, 3, 1, 3, 118, 24, 41, 69, 38, 2488, 0.3341180307349209
245.70046925124785,1579.9332999999992,1, 2, 2, 174, 57, 45, 28, 4, 2, 3, 1, 3, 118, 24, 41, 69, 38, 2488, 0.3341180307349209
246.71163524648043,1569.1652999999992,1, 2, 2, 174, 57, 45, 28, 4, 2, 3, 1, 3, 118, 24, 41, 69, 38, 2488, 0.3341180307349209
257.4767406777813,1024.0812999999991,1, 4, 2, 46, 57, 8, 28, 0, 2, 3, 3, 3, 111, 24, 46, 69, 38, 2488, 0.3525747322277773
258.0486369730108,1019.2322999999992,1, 4, 2, 46, 57, 8, 28, 0, 2, 3, 3, 3, 111, 24, 46, 69, 38, 2488, 0.3525747322277773
304.22594580854945,718.6332999999994,5, 4, 1, 272, 46, 53, 45, 0, 2, 3, 2, 2, 133, 72, 29, 71, 10, 2321, 0.4202559350133655
304.4748142269426,718.1902999999995,5, 4, 1, 272, 46, 53, 45, 0, 2, 3, 2, 2, 133, 72, 29, 71, 10, 2321, 0.4202559350133655
429.4519140282098,514.0812999999999,0, 4, 2, 35, 86, 83, 60, 0, 1, 3, 1, 1, 184, 64, 20, 62, 20, 2168, 0.4557179099849594
430.4183975719475,513.0332999999997,0, 4, 2, 35, 86, 83, 60, 0, 1, 3, 1, 1, 184, 64, 20, 62, 20, 2168, 0.4557179099849594
706.0080279498463,406.86529999999954,2, 9, 1, 272, 85, 0, 5, 0, 2, 3, 2, 3, 133, 72, 40, 71, 10, 2321, 0.3740891160748605
723.7793798840039,405.4892999999996,2, 9, 1, 272, 85, 0, 5, 0, 2, 3, 2, 3, 133, 72, 40, 71, 10, 2321, 0.3740891160748605
727.27561571609,403.44429999999966,2, 9, 1, 272, 85, 0, 5, 0, 2, 3, 2, 3, 133, 72, 40, 71, 10, 2321, 0.3740891160748605
