apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
4,0,2,231,44,1,16,0,1,1,3,1,120,22,20,53,11,865,0.2791348585865733,124.412084758445,7987.509999999999,55.0
4,0,2,231,44,1,16,0,1,1,3,1,120,22,20,53,11,865,0.2791348585865733,126.36634986538718,7990.94,52.0
4,0,2,231,44,1,16,0,1,1,3,1,120,22,20,53,11,865,0.2791348585865733,127.21106879416014,7990.94,54.0
4,0,2,231,44,1,16,0,1,1,3,1,120,22,20,53,11,865,0.2791348585865733,130.0100528298753,7994.37,53.0
4,0,2,231,44,1,16,0,1,1,3,1,120,22,20,53,11,865,0.2791348585865733,130.0100528298753,7987.509999999999,51.0
4,0,2,231,44,1,16,0,1,1,3,1,120,22,20,53,11,865,0.2791348585865733,132.6791101326825,7968.315,50.0
3,0,2,231,44,1,16,0,1,1,3,1,100,0,20,53,42,865,0.3211488166248863,155.90479259582625,6151.56,51.0
3,0,2,231,44,1,16,0,1,1,3,1,100,0,20,53,42,865,0.3211488166248863,157.4026717639516,6137.605,52.0
3,0,2,231,44,1,16,0,1,1,3,1,100,0,20,53,42,865,0.3211488166248863,157.4026717639516,6170.379999999999,50.0
3,0,2,231,44,1,16,0,1,1,3,1,100,0,20,53,42,865,0.3211488166248863,158.90055093207692,6151.56,53.0
4,0,2,31,36,1,27,0,1,1,3,1,107,27,37,53,11,865,0.3115471703298987,172.55896139583183,6488.999999999999,57.0
4,0,2,31,36,1,27,0,1,1,3,1,107,27,37,53,11,865,0.3115471703298987,178.36190663674392,6499.474999999999,56.0
4,0,2,31,36,1,27,0,1,1,3,1,107,27,37,53,11,865,0.3115471703298987,178.36190663674392,6510.31,54.0
4,0,2,31,36,1,27,0,1,1,3,1,107,27,37,53,11,865,0.3115471703298987,178.36190663674392,6499.474999999999,58.0
4,0,2,31,36,1,27,0,1,1,3,1,107,27,37,53,11,865,0.3115471703298987,179.84603053109515,6510.31,52.0
