delta_fitness_via,delta_fitness_conc, apoCellsMovementProba, needSigCellsMvtProba, layersAroundNLC, antiApoBoost, monoPhagoEff, nlcPhagoEff, macroPhagoEff, macroKillEff, cllSensingDistance, monocyteSensingDistance, nlcSensingDistance, macrophageSensingDistance, nlcThreshold, signalInitMean, signalInitStd, monoDiffThreshold , monoDiffTimeStd, gammaLifeInitRate, gammaLifeInitShape
124.412084758445,7987.509999999999,4, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 120, 22, 20, 53, 11, 865, 0.2791348585865733
132.6791101326825,7968.315,4, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 120, 22, 20, 53, 11, 865, 0.2791348585865733
155.90479259582625,6151.56,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 0, 20, 53, 42, 865, 0.3211488166248863
157.4026717639516,6137.605,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 0, 20, 53, 42, 865, 0.3211488166248863
180.44121324825187,5211.435,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 22, 20, 53, 42, 865, 0.3247212440643551
180.5086164428167,5194.749999999999,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 22, 20, 53, 42, 865, 0.3247212440643551
186.84597282782707,5183.089999999999,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 22, 20, 53, 42, 865, 0.3247212440643551
188.45579752143195,5151.6,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 22, 20, 53, 42, 865, 0.3247212440643551
190.06562221503685,5120.110000000001,3, 0, 2, 231, 44, 1, 16, 0, 1, 1, 3, 1, 100, 22, 20, 53, 42, 865, 0.3247212440643551
218.56177786916487,1991.41,8, 4, 2, 147, 38, 1, 3, 0, 2, 1, 3, 3, 100, 69, 48, 50, 20, 1288, 0.3099547788341524
219.1481791034288,1899.475,8, 4, 2, 147, 38, 1, 3, 0, 2, 1, 3, 3, 100, 69, 48, 50, 20, 1288, 0.3099547788341524
336.90778394974177,356.1099999999997,8, 9, 2, 235, 8, 7, 6, 0, 3, 1, 1, 1, 107, 62, 41, 49, 20, 1288, 0.4033070029156756
336.9375122692554,353.42499999999995,8, 9, 2, 235, 8, 7, 6, 0, 3, 1, 1, 1, 107, 62, 41, 49, 20, 1288, 0.4033070029156756
372.1358053138533,176.64499999999984,3, 7, 2, 147, 13, 1, 3, 0, 3, 1, 2, 3, 100, 69, 14, 50, 8, 1288, 0.4114359787900296
1526.7565014570146,126.65000000000002,8, 1, 2, 46, 36, 1, 3, 0, 2, 2, 1, 1, 107, 59, 43, 53, 11, 1548, 0.5354435716062389
1532.8935239986004,126.46499999999996,8, 1, 2, 46, 36, 1, 3, 0, 2, 2, 1, 1, 107, 59, 43, 53, 11, 1548, 0.5354435716062389
1620.5156985385047,107.38999999999996,8, 7, 2, 46, 77, 1, 0, 0, 3, 2, 2, 1, 107, 39, 18, 53, 11, 1548, 0.5300521697509577
1621.8598452444803,106.45,8, 7, 2, 46, 77, 1, 0, 0, 3, 2, 2, 1, 107, 39, 18, 53, 11, 1548, 0.5300521697509577
1809.2183954424756,102.45999999999997,8, 3, 2, 46, 77, 1, 0, 0, 3, 3, 2, 1, 107, 39, 20, 53, 11, 1548, 0.5303331932662394
1809.967644288512,102.30999999999996,8, 3, 2, 46, 77, 1, 0, 0, 3, 3, 2, 1, 107, 39, 20, 53, 11, 1548, 0.5303331932662394
