delta_fitness_via,delta_fitness_conc, apoCellsMovementProba, needSigCellsMvtProba, layersAroundNLC, antiApoBoost, monoPhagoEff, nlcPhagoEff, macroPhagoEff, macroKillEff, cllSensingDistance, monocyteSensingDistance, nlcSensingDistance, macrophageSensingDistance, nlcThreshold, signalInitMean, signalInitStd, monoDiffThreshold , monoDiffTimeStd, gammaLifeInitRate, gammaLifeInitShape
244.4807010032264,2641.7606000000005,6, 1, 1, 147, 95, 1, 84, 0, 1, 1, 2, 2, 107, 72, 2, 58, 9, 2255, 0.1393378717490285
259.59660049621266,2638.6186000000007,6, 1, 1, 147, 95, 1, 84, 0, 1, 1, 2, 2, 107, 72, 2, 58, 9, 2255, 0.1393378717490285
263.11966268653055,2629.6786,6, 1, 1, 147, 95, 1, 84, 0, 1, 1, 2, 2, 107, 72, 2, 58, 9, 2255, 0.1393378717490285
304.82084335273646,1891.8686000000005,10, 7, 2, 46, 95, 1, 93, 0, 1, 1, 1, 1, 107, 72, 2, 60, 13, 2038, 0.1544827801238543
306.6980171001847,1882.5726,10, 7, 2, 46, 95, 1, 93, 0, 1, 1, 1, 1, 107, 72, 2, 60, 13, 2038, 0.1544827801238543
307.2408154207235,1810.3416,10, 7, 2, 46, 95, 1, 93, 0, 1, 1, 3, 1, 107, 72, 12, 60, 13, 2038, 0.1548387883312943
308.2794634344036,1593.1545999999998,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.1585233663839946
308.2905940999872,1586.5896000000002,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.1585233663839946
308.3017247655707,1580.0246000000006,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.1585233663839946
309.712435427506,1576.3186000000003,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.1585233663839946
326.68541763677587,1431.6426000000004,7, 1, 1, 273, 55, 1, 79, 0, 1, 1, 1, 2, 107, 72, 8, 62, 13, 2488, 0.1507528361721198
327.7925386119849,1425.4346000000005,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.165207588703277
328.31158131541895,1425.3666000000003,7, 1, 1, 273, 55, 1, 79, 0, 1, 1, 1, 2, 107, 72, 8, 62, 13, 2488, 0.1507528361721198
328.32174766065737,1424.6866000000005,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.165207588703277
329.9377449940621,1419.0906,7, 1, 1, 273, 55, 1, 79, 0, 1, 1, 1, 2, 107, 72, 8, 62, 13, 2488, 0.1507528361721198
332.8685186422597,1414.3776000000005,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.165207588703277
337.9444986725345,1404.8166000000003,7, 1, 1, 273, 55, 1, 79, 1, 1, 1, 2, 2, 107, 72, 2, 62, 13, 2255, 0.165207588703277
