apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
6,1,1,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393378717490285,244.4807010032264,2641.7606000000005,52.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,245.37312851076564,2671.5396000000005,50.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,248.11045092115037,2683.7346000000007,51.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,248.11045092115037,2716.7186,53.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,249.5735666331131,2700.2266000000004,52.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,249.5735666331131,2700.2266000000004,56.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,249.5735666331131,2744.9826000000003,54.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,251.03668234507583,2683.7346000000007,57.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,251.03668234507583,2716.7186,55.0
6,1,1,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393378717490285,252.130510287016,2644.902600000001,53.0
6,1,1,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393378717490285,252.130510287016,2763.5026000000003,55.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,252.9026077125237,2744.9826000000003,64.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,252.9026077125237,2744.9826000000003,66.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,252.9026077125237,2744.9826000000003,70.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,252.9026077125237,2744.9826000000003,72.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,252.9026077125237,2700.2266000000004,58.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,252.9026077125237,2744.9826000000003,68.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2716.7186,63.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2773.2466000000004,69.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2773.2466000000004,67.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2773.2466000000004,73.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2773.2466000000004,65.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2698.1986000000006,59.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,254.76853307997152,2773.2466000000004,71.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,255.3159875787332,2707.4586000000004,60.0
6,1,3,147,95,1,84,0,1,1,2,2,107,72,2,58,9,2255,0.1393083698679053,255.3159875787332,2744.9826000000003,74.0
