"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploNLCSensDist"
"01/25/2022 11:40:09:028 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-nlc-sens-dist","[step]","getSeed","getViability","getRemainingCellRatio"
"2","1","0","775166","100","100"
"4","2","0","110462","100","100"
"3","1","0","466616","100","100"
"1","1","0","178247","100","100"
"4","2","1","110462","99.425","100"
"2","1","1","775166","99.55000000000001","100"
"1","1","1","178247","99.425","100"
"3","1","1","466616","99.575","100"
"2","1","2","775166","98.94973743435858","99.97500000000001"
"3","1","2","466616","99","100"
"4","2","2","110462","98.9","100"
"1","1","2","178247","98.8","100"
"1","1","3","178247","98.32458114528632","99.97500000000001"
"3","1","3","466616","98.55000000000001","100"
"2","1","3","775166","98.42460615153789","99.97500000000001"
"4","2","3","110462","98.475","100"
"1","1","4","178247","97.99849887415562","99.925"
"2","1","4","775166","97.87446861715429","99.97500000000001"
"3","1","4","466616","98.399599899975","99.97500000000001"
"4","2","4","110462","97.975","100"
"1","1","5","178247","97.62262262262263","99.9"
"2","1","5","775166","97.4974974974975","99.9"
"3","1","5","466616","97.72443110777694","99.97500000000001"
"4","2","5","110462","97.575","100"
"1","1","6","178247","97.22222222222221","99.9"
"3","1","6","466616","97.14857428714357","99.95"
"2","1","6","775166","96.82102628285357","99.875"
"4","2","6","110462","97.1","100"
"1","1","7","178247","96.79599499374217","99.875"
"3","1","7","466616","96.67167167167166","99.9"
"2","1","7","775166","96.16925388082123","99.85000000000001"
"4","2","7","110462","96.69834917458729","99.95"
"1","1","8","178247","96.51890808915601","99.825"
"3","1","8","466616","96.270337922403","99.875"
"2","1","8","775166","95.49211119459054","99.825"
"4","2","8","110462","96.14614614614615","99.9"
"1","1","9","178247","96.04109245803056","99.775"
"3","1","9","466616","95.86362496866383","99.725"
"2","1","9","775166","94.98997995991984","99.8"
"4","2","9","110462","95.79474342928661","99.875"
"1","1","10","178247","95.76016056196688","99.65"
"3","1","10","466616","95.28467519438173","99.675"
"2","1","10","775166","94.71310448509146","99.775"
"4","2","10","110462","95.26553106212425","99.8"
"1","1","11","178247","95.58232931726907","99.6"
"3","1","11","466616","94.6074742914472","99.675"
"2","1","11","775166","94.06015037593986","99.75"
"4","2","11","110462","95.06018054162487","99.7"
"3","1","12","466616","94.22980431510285","99.65"
"1","1","12","178247","95.22852837769965","99.55000000000001"
"2","1","12","775166","93.45864661654136","99.75"
"4","2","12","110462","94.65897693079238","99.7"
"1","1","13","178247","94.87308368936918","99.47500000000001"
"3","1","13","466616","93.75156838143036","99.625"
"2","1","13","775166","93.07750188111362","99.675"
"4","2","13","110462","94.27997992975415","99.65"
"1","1","14","178247","94.54362584862962","99.425"
"2","1","14","775166","92.76745354093421","99.55000000000001"
"3","1","14","466616","93.47389558232932","99.6"
"4","2","14","110462","93.80175658720201","99.625"
"2","1","15","775166","92.43528524754964","99.47500000000001"
"1","1","15","178247","94.341046277666","99.4"
"3","1","15","466616","92.96128707893413","99.45"
"4","2","15","110462","93.29987452948558","99.625"
"2","1","16","775166","92.0774647887324","99.4"
"1","1","16","178247","94.05541561712847","99.25"
"3","1","16","466616","92.63263766658285","99.425"
"4","2","16","110462","92.8894472361809","99.5"
"2","1","17","775166","91.79048098715688","99.275"
"1","1","17","178247","93.67280060499118","99.175"
"3","1","17","466616","92.24767178454569","99.325"
"4","2","17","110462","92.30962553405378","99.47500000000001"
"2","1","18","775166","91.25504032258065","99.2"
"1","1","18","178247","93.19384925636501","99.175"
"3","1","18","466616","91.8429003021148","99.3"
"4","2","18","110462","91.87830022630123","99.425"
"2","1","19","775166","90.72346861608268","99.175"
"1","1","19","178247","92.90941206156951","99.075"
"3","1","19","466616","91.41274238227147","99.275"
"4","2","19","110462","91.57020634121793","99.35000000000001"
"2","1","20","775166","90.18915510718789","99.125"
"1","1","20","178247","92.44949494949495","99"
"3","1","20","466616","91.05342741935483","99.2"
"4","2","20","110462","91.33282942806751","99.225"
"2","1","21","775166","89.64907851552638","99.02499999999999"
"1","1","21","178247","92.11523881728583","98.925"
"3","1","21","466616","90.51702395964692","99.125"
"4","2","21","110462","91.0489157841654","99.15"
"2","1","22","775166","89.33535506696992","98.925"
"1","1","22","178247","91.82278481012658","98.75"
"3","1","22","466616","90.30058095478655","98.97500000000001"
"4","2","22","110462","90.73700151438668","99.05000000000001"
"2","1","23","775166","88.90293225480283","98.9"
"1","1","23","178247","91.45970603142423","98.65"
"3","1","23","466616","90.01769016932019","98.925"
"4","2","23","110462","90.35353535353535","99"
"2","1","24","775166","88.43330802328524","98.775"
"1","1","24","178247","91.20182555780933","98.6"
"3","1","24","466616","89.70922882427307","98.875"
"4","2","24","110462","89.76238624873609","98.9"
"2","1","25","775166","88.04155054471751","98.675"
"1","1","25","178247","90.91139883219091","98.475"
"3","1","25","466616","89.39240506329114","98.75"
"4","2","25","110462","89.49633004302709","98.775"
"2","1","26","775166","87.52851711026615","98.625"
"1","1","26","178247","90.5693950177936","98.35000000000001"
"3","1","26","466616","88.95923018485693","98.725"
"4","2","26","110462","89.35361216730038","98.625"
"2","1","27","775166","86.960933536276","98.55000000000001"
"1","1","27","178247","90.1551767997965","98.275"
"3","1","27","466616","88.52002027369488","98.65"
"4","2","27","110462","89.08629441624365","98.5"
"2","1","28","775166","86.61757237176232","98.45"
"1","1","28","178247","89.74293713413081","98.225"
"3","1","28","466616","88.0578093306288","98.6"
"4","2","28","110462","88.81829733163914","98.375"
"2","1","29","775166","86.3208746503941","98.32499999999999"
"1","1","29","178247","89.29936305732484","98.125"
"3","1","29","466616","87.83955318608784","98.475"
"2","1","30","775166","85.92158859470469","98.2"
"4","2","29","110462","88.47914547304171","98.3"
"3","1","30","466616","87.52540650406505","98.4"
"1","1","30","178247","89.13819479857216","98.05"
"2","1","31","775166","85.47770700636943","98.125"
"4","2","30","110462","88.2262996941896","98.1"
"3","1","31","466616","87.27411555103079","98.225"
"1","1","31","178247","88.67635807192042","98.02499999999999"
"2","1","32","775166","85.1530612244898","98"
"4","2","31","110462","87.91432942376338","98.05"
"3","1","32","466616","86.83138053998981","98.15"
"1","1","32","178247","88.38693210821847","97.95"
"2","1","33","775166","84.75485188968335","97.89999999999999"
"4","2","32","110462","87.40438551759307","98.05"
"3","1","33","466616","86.6360622290232","98.02499999999999"
"1","1","33","178247","87.9887554306159","97.82499999999999"
"2","1","34","775166","84.3558282208589","97.8"
"4","2","33","110462","87.18079673135854","97.89999999999999"
"3","1","34","466616","86.22097473845368","97.975"
"1","1","34","178247","87.72692406034263","97.775"
"2","1","35","775166","83.88334612432847","97.725"
"4","2","34","110462","86.9120654396728","97.8"
"3","1","35","466616","85.91873243036034","97.82499999999999"
"1","1","35","178247","87.40399385560676","97.65"
"2","1","36","775166","83.50409836065575","97.6"
"4","2","35","110462","86.74513817809621","97.7"
"3","1","36","466616","85.57175748273215","97.725"
"1","1","36","178247","87.02564102564102","97.5"
"2","1","37","775166","82.98308559712967","97.55"
"3","1","37","466616","85.11782786885246","97.6"
"4","2","36","110462","86.41722193746797","97.55"
"1","1","37","178247","86.58286300667008","97.45"
"2","1","38","775166","82.64441591784339","97.375"
"3","1","38","466616","84.85626283367557","97.39999999999999"
"4","2","37","110462","86.08049218149193","97.52499999999999"
"1","1","38","178247","86.01129363449692","97.39999999999999"
"2","1","39","775166","82.07498715973293","97.35000000000001"
"3","1","39","466616","84.3011305241521","97.3"
"4","2","38","110462","85.83525789068514","97.425"
"1","1","39","178247","85.67026194144837","97.35000000000001"
"2","1","40","775166","81.61953727506427","97.25"
"3","1","40","466616","83.95886889460155","97.25"
"4","2","39","110462","85.46108399691754","97.32499999999999"
"1","1","40","178247","85.41666666666666","97.2"
"2","1","41","775166","81.4109165808445","97.1"
"3","1","41","466616","83.65508365508364","97.125"
"4","2","40","110462","85.17090722179388","97.275"
"1","1","41","178247","85.14800514800514","97.125"
"2","1","42","775166","81.31612903225806","96.875"
"3","1","42","466616","83.32903890749806","97.02499999999999"
"4","2","41","110462","84.81338481338481","97.125"
"1","1","42","178247","84.68468468468468","97.125"
"2","1","43","775166","80.94622543950362","96.7"
"3","1","43","466616","82.9249419654372","96.925"
"1","1","43","178247","84.38144329896907","97"
"4","2","42","110462","84.58365558133539","96.975"
"2","1","44","775166","80.54837040869116","96.65"
"3","1","44","466616","82.66597778351847","96.775"
"2","1","45","775166","80.26418026418027","96.525"
"4","2","43","110462","84.22818791946308","96.85000000000001"
"1","1","44","178247","84.00412796697626","96.89999999999999"
"3","1","45","466616","82.38944918541506","96.675"
"1","1","45","178247","83.67768595041323","96.8"
"2","1","46","775166","79.95851698211045","96.42500000000001"
"4","2","44","110462","83.92349444300852","96.72500000000001"
"3","1","46","466616","82.24759927329353","96.325"
"2","1","47","775166","79.64693665628245","96.3"
"1","1","46","178247","83.32902558800723","96.72500000000001"
"4","2","45","110462","83.73836608066185","96.7"
"3","1","47","466616","81.8394388152767","96.22500000000001"
"2","1","48","775166","79.18399168399168","96.2"
"1","1","47","178247","82.84605433376456","96.625"
"4","2","46","110462","83.3764888658726","96.55"
"3","1","48","466616","81.46125845033801","96.15"
"2","1","49","775166","78.8076021869305","96.025"
"1","1","48","178247","82.52200932159502","96.55"
"4","2","47","110462","83.26848249027238","96.375"
"3","1","49","466616","81.15074199427232","96.025"
"2","1","50","775166","78.43188330294348","95.975"
"1","1","49","178247","82.16692586832556","96.45"
"4","2","48","110462","82.9698857736241","96.3"
"3","1","50","466616","80.73514077163712","95.89999999999999"
"2","1","51","775166","78.18371607515657","95.8"
"1","1","50","178247","81.87954309449637","96.3"
"4","2","49","110462","82.60078023407023","96.125"
"3","1","51","466616","80.46997389033943","95.75"
"2","1","52","775166","77.90849673202615","95.625"
"1","1","51","178247","81.59604886924876","96.175"
"4","2","50","110462","82.21354166666667","96"
"3","1","52","466616","80.25111169238818","95.575"
"2","1","53","775166","77.69633507853403","95.5"
"1","1","52","178247","81.22724908996359","96.15"
"4","2","51","110462","82.17640918580375","95.8"
"3","1","53","466616","79.88475641697224","95.45"
"2","1","54","775166","77.60293731969577","95.325"
"1","1","53","178247","80.97967691505993","95.95"
"4","2","52","110462","81.78730075777372","95.675"
"3","1","54","466616","79.59611854183059","95.325"
"2","1","55","775166","77.36344537815127","95.19999999999999"
"1","1","54","178247","80.82942097026604","95.85000000000001"
"4","2","53","110462","81.45435521841485","95.575"
"3","1","55","466616","79.26509186351706","95.25"
"2","1","56","775166","77.29303547963207","95.125"
"1","1","55","178247","80.43308113749022","95.825"
"4","2","54","110462","81.02094240837697","95.5"
"3","1","56","466616","79.17981072555204","95.1"
"2","1","57","775166","77.04659120821269","94.975"
"1","1","56","178247","80.04174276024003","95.825"
"4","2","55","110462","80.76519916142557","95.39999999999999"
"3","1","57","466616","78.96261190100053","94.95"
"2","1","58","775166","76.79936725547061","94.825"
"1","1","57","178247","79.71279373368147","95.75"
"4","2","56","110462","80.40398740818469","95.3"
"3","1","58","466616","78.69760084365937","94.825"
"2","1","59","775166","76.59799260433175","94.65"
"1","1","58","178247","79.45098039215686","95.625"
"4","2","57","110462","80.05780346820809","95.15"
"3","1","59","466616","78.54689564068693","94.625"
"2","1","60","775166","76.30118890356671","94.625"
"1","1","59","178247","79.4287211740042","95.39999999999999"
"4","2","58","110462","79.62085308056872","94.95"
"3","1","60","466616","78.33333333333333","94.5"
"2","1","61","775166","75.91955543794656","94.475"
"1","1","60","178247","79.39011566771819","95.1"
"4","2","59","110462","79.36758893280633","94.875"
"3","1","61","466616","78.06622516556291","94.375"
"2","1","62","775166","75.46369899311077","94.35"
"1","1","61","178247","79.0416008425487","94.95"
"4","2","60","110462","78.78068091844814","94.72500000000001"
"3","1","62","466616","77.91345898593045","94.175"
"2","1","63","775166","75.19893899204244","94.25"
"1","1","62","178247","78.62414338429099","94.85"
"4","2","61","110462","78.34125726360274","94.65"
"3","1","63","466616","77.43821419080521","94.075"
"2","1","64","775166","75.21935655410795","94.025"
"1","1","63","178247","78.10932136255612","94.675"
"4","2","62","110462","77.95713151627415","94.475"
"3","1","64","466616","76.88214950784783","93.975"
"2","1","65","775166","75.03999999999999","93.75"
"1","1","64","178247","77.89529349550503","94.55"
"4","2","63","110462","77.8131634819533","94.19999999999999"
"3","1","65","466616","76.67288723007198","93.77499999999999"
"2","1","66","775166","74.68624833110815","93.625"
"1","1","65","178247","77.64238410596026","94.375"
"4","2","64","110462","77.43480574773815","93.95"
"3","1","66","466616","76.40149492792312","93.65"
"1","1","66","178247","77.62423598192932","94.075"
"2","1","67","775166","74.33770404067434","93.425"
"4","2","65","110462","77.22059215790877","93.72500000000001"
"3","1","67","466616","76.2847965738758","93.4"
"1","1","67","178247","77.39616613418531","93.89999999999999"
"2","1","68","775166","74.10187667560322","93.25"
"3","1","68","466616","75.92493297587131","93.25"
"1","1","68","178247","77.1939183782342","93.72500000000001"
"4","2","66","110462","76.8778401496926","93.525"
"2","1","69","775166","73.93288590604027","93.125"
"3","1","69","466616","75.69164652162235","93.075"
"1","1","69","178247","77.00133868808567","93.375"
"2","1","70","775166","73.68845843422115","92.925"
"4","2","67","110462","76.7828418230563","93.25"
"3","1","70","466616","75.43057050592034","92.9"
"1","1","70","178247","76.81159420289855","93.15"
"2","1","71","775166","73.47544522396115","92.65"
"4","2","68","110462","76.55913978494624","93"
"3","1","71","466616","75.27665317139002","92.625"
"1","1","71","178247","76.81940700808624","92.75"
"2","1","72","775166","73.28637225684096","92.27499999999999"
"4","2","69","110462","76.51658128875708","92.72500000000001"
"3","1","72","466616","75.2571737953438","92.35"
"1","1","72","178247","76.68197784382599","92.525"
"2","1","73","775166","72.9546072302256","91.975"
"4","2","70","110462","76.33072142664145","92.525"
"3","1","73","466616","75.19021739130434","92"
"2","1","74","775166","72.84623773173392","91.7"
"1","1","73","178247","76.48333784882145","92.27499999999999"
"4","2","71","110462","76.10930735930735","92.4"
"3","1","74","466616","75.18407417507498","91.675"
"2","1","75","775166","72.81686285245004","91.325"
"1","1","74","178247","76.278563656148","91.9"
"4","2","72","110462","75.88825603471658","92.175"
"3","1","75","466616","75.20547945205479","91.25"
"2","1","76","775166","72.74725274725274","91"
"1","1","75","178247","76.14754098360656","91.5"
"3","1","76","466616","75.19251925192519","90.9"
"4","2","73","110462","75.60445531105677","92.025"
"2","1","77","775166","72.70971302428256","90.60000000000001"
"1","1","76","178247","75.9122085048011","91.125"
"3","1","77","466616","75.13827433628319","90.4"
"4","2","74","110462","75.52466612155901","91.725"
"1","1","77","178247","75.68163040484714","90.77499999999999"
"2","1","78","775166","72.6289517470882","90.14999999999999"
"3","1","78","466616","75.09035307200445","89.925"
"4","2","75","110462","75.55373256767842","91.425"
"2","1","79","775166","72.69681742043551","89.55"
"1","1","78","178247","75.80199115044249","90.4"
"3","1","79","466616","75.13982102908278","89.4"
"4","2","76","110462","75.26734302166163","91.175"
"2","1","80","775166","72.64309764309765","89.1"
"1","1","79","178247","75.81227436823104","90.025"
"3","1","80","466616","74.98593134496342","88.85"
"4","2","77","110462","75.22026431718062","90.8"
"2","1","81","775166","72.57836769274216","88.52499999999999"
"1","1","80","178247","75.64174107142857","89.60000000000001"
"3","1","81","466616","75.08493771234428","88.3"
"4","2","78","110462","74.92397014100082","90.425"
"2","1","82","775166","72.750569476082","87.8"
"1","1","81","178247","75.66582562377347","89.17500000000001"
"3","1","82","466616","75.0855188141391","87.7"
"2","1","83","775166","72.8211009174312","87.2"
"4","2","79","110462","74.79877879544824","90.075"
"1","1","82","178247","75.81237637750777","88.47500000000001"
"3","1","83","466616","75.10766580534023","87.075"
"2","1","84","775166","72.9136586774473","86.575"
"4","2","80","110462","74.8745119910764","89.64999999999999"
"1","1","83","178247","75.7463747512084","87.925"
"3","1","84","466616","75.33256217466744","86.45"
"2","1","85","775166","73.26156531859179","85.925"
"4","2","81","110462","74.80381165919282","89.2"
"1","1","84","178247","75.90948152391864","87.275"
"3","1","85","466616","75.63392596910522","85.775"
"2","1","86","775166","73.35873388042205","85.3"
"4","2","82","110462","74.62728551336146","88.875"
"1","1","85","178247","76.03926096997691","86.6"
"3","1","86","466616","75.85903083700441","85.125"
"2","1","87","775166","73.63287023352055","84.575"
"1","1","86","178247","76.33187772925764","85.875"
"4","2","83","110462","74.76661951909477","88.375"
"3","1","87","466616","76.20035566093657","84.35000000000001"
"2","1","88","775166","74.12712623097583","83.775"
"1","1","87","178247","76.5051395007342","85.125"
"4","2","84","110462","74.91457858769932","87.8"
"3","1","88","466616","76.41255605381167","83.625"
"2","1","89","775166","74.4655224330021","83.025"
"4","2","85","110462","75","87.2"
"1","1","88","178247","76.61529342027268","84.35000000000001"
"3","1","89","466616","76.63748868095381","82.825"
"2","1","90","775166","74.5819397993311","82.22500000000001"
"4","2","86","110462","75.29615718000578","86.52499999999999"
"1","1","89","178247","77.04967085577499","83.55"
"3","1","90","466616","77.0496799756172","82.025"
"2","1","91","775166","75.0076757752533","81.425"
"4","2","87","110462","75.53873034362259","85.85000000000001"
"1","1","90","178247","77.58620689655173","82.65"
"3","1","91","466616","77.50769230769231","81.25"
"2","1","92","775166","75.56589147286822","80.625"
"1","1","91","178247","77.94746487477092","81.85"
"4","2","88","110462","75.76291079812206","85.2"
