"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbM2KillEff"
"01/25/2022 11:31:02:281 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-M2-kill-eff","[step]","getSeed","getViability","getRemainingCellRatio"
"2","0","0","999650","100","100"
"4","1","0","857382","100","100"
"3","0","0","126264","100","100"
"1","0","0","526655","100","100"
"4","1","1","857382","99.5","100"
"3","0","1","126264","99.55000000000001","100"
"2","0","1","999650","99.425","100"
"1","0","1","526655","99.575","100"
"4","1","2","857382","99.3","100"
"2","0","2","999650","98.97500000000001","100"
"3","0","2","126264","99.1","100"
"1","0","2","526655","99.15","100"
"3","0","3","126264","98.6","100"
"1","0","3","526655","98.79969992498124","99.97500000000001"
"2","0","3","999650","98.44922461230615","99.95"
"4","1","3","857382","99.075","100"
"3","0","4","126264","98.19954988747187","99.97500000000001"
"4","1","4","857382","98.675","100"
"1","0","4","526655","98.42460615153789","99.97500000000001"
"2","0","4","999650","98.04853640230172","99.925"
"3","0","5","126264","97.77332999749812","99.925"
"4","1","5","857382","98.0995248812203","99.97500000000001"
"2","0","5","999650","97.6720901126408","99.875"
"1","0","5","526655","98.04951237809453","99.97500000000001"
"3","0","6","126264","97.32232232232232","99.9"
"4","1","6","857382","97.54938734683671","99.97500000000001"
"2","0","6","999650","97.34601902854281","99.85000000000001"
"1","0","6","526655","97.54816112084063","99.925"
"3","0","7","126264","96.84605757196496","99.875"
"4","1","7","857382","97.02351175587793","99.95"
"2","0","7","999650","97.01903807615231","99.8"
"1","0","7","526655","97.0706059088633","99.85000000000001"
"3","0","8","126264","96.14228456913828","99.8"
"4","1","8","857382","96.67167167167166","99.9"
"2","0","8","999650","96.51716361814083","99.775"
"1","0","8","526655","96.44377660906586","99.825"
"4","1","9","857382","96.07008760951189","99.875"
"3","0","9","126264","95.48872180451127","99.75"
"2","0","9","999650","96.04010025062657","99.75"
"1","0","9","526655","96.09218436873748","99.8"
"3","0","10","126264","95.01128102281274","99.725"
"4","1","10","857382","95.71964956195244","99.875"
"1","0","10","526655","95.6390977443609","99.75"
"2","0","10","999650","95.58786663324142","99.725"
"3","0","11","126264","94.65897693079238","99.7"
