"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbDiffStd"
"01/25/2022 12:13:49:128 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-diff-std","[step]","getSeed","getViability","getRemainingCellRatio"
"1","0","0","183711","100","100"
"4","10","0","954928","100","100"
"3","0","0","92884","100","100"
"2","0","0","943847","100","100"
"4","10","1","954928","99.6","100"
"1","0","1","183711","99.675","100"
"3","0","1","92884","99.35000000000001","100"
"2","0","1","943847","99.55000000000001","100"
"1","0","2","183711","99.05000000000001","100"
"4","10","2","954928","99.275","100"
"2","0","2","943847","99.25","100"
"3","0","2","92884","98.875","100"
"1","0","3","183711","98.375","100"
"4","10","3","954928","98.89972493123281","99.97500000000001"
"2","0","3","943847","98.95","100"
"3","0","3","92884","98.52499999999999","100"
"1","0","4","183711","97.84892446223111","99.95"
"4","10","4","954928","98.399599899975","99.97500000000001"
"3","0","4","92884","98.02499999999999","100"
"2","0","4","943847","98.475","100"
"4","10","5","954928","97.87446861715429","99.97500000000001"
"1","0","5","183711","97.52376188094047","99.95"
"3","0","5","92884","97.5","100"
"2","0","5","943847","97.87393696848424","99.95"
"4","10","6","954928","97.3980485364023","99.925"
"1","0","6","183711","96.97348674337168","99.95"
"3","0","6","92884","97.225","100"
"2","0","6","943847","97.29797348011007","99.925"
"4","10","7","954928","96.82261696272204","99.925"
"1","0","7","183711","96.57071339173967","99.875"
"3","0","7","92884","96.84842421210605","99.95"
"2","0","7","943847","96.89767325494121","99.925"
"4","10","8","954928","96.17021276595744","99.875"
"1","0","8","183711","96.16829451540195","99.825"
"3","0","8","92884","96.14614614614615","99.9"
"2","0","8","943847","96.37227920940705","99.925"
"4","10","9","954928","95.6434651977967","99.85000000000001"
"1","0","9","183711","95.74148296593187","99.8"
"3","0","9","92884","95.819774718398","99.875"
"2","0","9","943847","95.76865297946921","99.85000000000001"
"4","10","10","954928","95.04256384576865","99.85000000000001"
"1","0","10","183711","95.34068136272545","99.8"
"2","0","10","943847","95.16775162744116","99.85000000000001"
"3","0","10","92884","95.29293940911367","99.85000000000001"
"4","10","11","954928","94.71442885771543","99.8"
"1","0","11","183711","94.76190476190476","99.75"
"2","0","11","943847","94.83967935871743","99.8"
"3","0","11","92884","95.0413223140496","99.825"
"4","10","12","954928","94.1869205712854","99.775"
"2","0","12","943847","94.4597643519679","99.725"
"1","0","12","183711","94.30792377131394","99.7"
"3","0","12","92884","94.73684210526315","99.75"
"4","10","13","954928","93.88011035866566","99.675"
"2","0","13","943847","93.98194583751254","99.7"
"1","0","13","183711","93.85502884374216","99.675"
"3","0","13","92884","94.25921283529706","99.725"
"4","10","14","954928","93.50388763481314","99.675"
"2","0","14","943847","93.64800401707257","99.575"
"1","0","14","183711","93.34672357519457","99.575"
"3","0","14","92884","93.77978429897166","99.675"
"4","10","15","954928","93.1173072092439","99.52499999999999"
"2","0","15","943847","93.06880964339528","99.55000000000001"
"1","0","15","183711","92.89123335845265","99.52499999999999"
"3","0","15","92884","93.44879518072288","99.6"
"4","10","16","954928","92.58793969849246","99.5"
"2","0","16","943847","92.51632345554998","99.55000000000001"
"1","0","16","183711","92.50691475986925","99.425"
"3","0","16","92884","92.94324460070317","99.55000000000001"
"4","10","17","954928","92.17806841046277","99.4"
"3","0","17","92884","92.6596279537456","99.45"
"2","0","17","943847","92.12776659959758","99.4"
"1","0","17","183711","92.09466263846929","99.3"
"4","10","18","954928","91.64779874213836","99.375"
"1","0","18","183711","91.68556311413454","99.225"
"3","0","18","92884","92.20125786163523","99.375"
"2","0","18","943847","91.66876415806695","99.325"
"4","10","19","954928","91.01660795168596","99.35000000000001"
"1","0","19","183711","91.3262733232476","99.15"
"2","0","19","943847","91.06243705941591","99.3"
"3","0","19","92884","91.9436052366566","99.3"
"4","10","20","954928","90.62736205593347","99.225"
"2","0","20","943847","90.60690002518257","99.275"
"1","0","20","183711","91.06286291340571","99.02499999999999"
"3","0","20","92884","91.63727959697732","99.25"
"4","10","21","954928","90.24205748865356","99.15"
"2","0","21","943847","90.37055709604235","99.175"
"1","0","21","183711","90.60131379484588","98.95"
"3","0","21","92884","91.17276166456494","99.125"
"4","10","22","954928","89.7500631153749","99.02499999999999"
"2","0","22","943847","89.95710320464295","99.075"
"1","0","22","183711","90.31850353892821","98.9"
"3","0","22","92884","90.8104014137844","99.02499999999999"
"4","10","23","954928","89.40849342770476","98.9"
"2","0","23","943847","89.5959595959596","99"
"3","0","23","92884","90.52312357846853","98.925"
"1","0","23","183711","89.83308042488619","98.85000000000001"
"4","10","24","954928","88.9956994687579","98.825"
"2","0","24","943847","89.19807740956236","98.825"
"3","0","24","92884","90.0126422250316","98.875"
"1","0","24","183711","89.52429149797571","98.8"
"4","10","25","954928","88.5403491019479","98.825"
"2","0","25","943847","88.71457489878543","98.8"
"3","0","25","92884","89.42842690945878","98.85000000000001"
"1","0","25","183711","89.03242147923","98.7"
"4","10","26","954928","88.12357558875664","98.725"
"2","0","26","943847","88.44399391789153","98.65"
"3","0","26","92884","88.99012908124526","98.775"
"1","0","26","183711","88.62944162436548","98.5"
"4","10","27","954928","87.73752216873575","98.675"
"2","0","27","943847","88.08316430020284","98.6"
"3","0","27","92884","88.55116514690982","98.7"
"1","0","27","183711","88.28164717844433","98.35000000000001"
"4","10","28","954928","87.34787018255578","98.6"
"2","0","28","943847","87.51585891905607","98.52499999999999"
"3","0","28","92884","88.34262544348708","98.65"
"1","0","28","183711","87.65903307888041","98.25"
"4","10","29","954928","86.8781725888325","98.5"
"2","0","29","943847","87.19186785260483","98.375"
"3","0","29","92884","88.02941922394116","98.575"
"1","0","29","183711","87.17230847543904","98.225"
"4","10","30","954928","86.33477266954533","98.425"
"2","0","30","943847","86.99745547073792","98.25"
"3","0","30","92884","87.63331640426613","98.45"
"1","0","30","183711","86.78716904276986","98.2"
"4","10","31","954928","86.01220752797558","98.3"
"2","0","31","943847","86.58691779078646","98.225"
"3","0","31","92884","87.03609557702084","98.35000000000001"
"1","0","31","183711","86.54091256691308","98.075"
"4","10","32","954928","85.66700610997964","98.2"
"2","0","32","943847","86.38796839153709","98.075"
"3","0","32","92884","86.76844783715013","98.25"
"1","0","32","183711","86.39612046962736","97.95"
"4","10","33","954928","85.39383125159317","98.075"
"3","0","33","92884","86.50025471217523","98.15"
"2","0","33","943847","85.83460949464012","97.95"
"1","0","33","183711","86.22540250447227","97.82499999999999"
"4","10","34","954928","85.24004085801839","97.89999999999999"
"3","0","34","92884","86.0275369709332","98.05"
"2","0","34","943847","85.55356686269496","97.775"
"1","0","34","183711","85.60838445807771","97.8"
