"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploMacroSensDist"
"01/25/2022 11:50:20:054 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-macro-sens-dist","[step]","getSeed","getViability","getRemainingCellRatio"
"2","1","0","431052","100","100"
"3","1","0","342219","100","100"
"4","2","0","521039","100","100"
"1","1","0","764162","100","100"
"2","1","1","431052","99.4","100"
"3","1","1","342219","99.35000000000001","100"
"1","1","1","764162","99.65","100"
"4","2","1","521039","99.425","100"
"2","1","2","431052","98.925","100"
"3","1","2","342219","98.775","100"
"1","1","2","764162","99.27481870467616","99.97500000000001"
"4","2","2","521039","98.82441220610305","99.95"
"2","1","3","431052","98.5","100"
"3","1","3","342219","98.42421210605302","99.95"
"1","1","3","764162","98.69967491872968","99.97500000000001"
"4","2","3","521039","98.09904952476238","99.95"
"3","1","4","342219","98.04804804804806","99.9"
"1","1","4","764162","98.09904952476238","99.95"
"2","1","4","431052","97.99949987496875","99.97500000000001"
"4","2","4","521039","97.59819864898674","99.925"
"3","1","5","342219","97.72215269086358","99.875"
"2","1","5","431052","97.39934983745937","99.97500000000001"
"1","1","5","764162","97.62381190595298","99.95"
"4","2","5","521039","97.09782336752565","99.925"
"3","1","6","342219","97.17146433041302","99.875"
"1","1","6","764162","96.94771078308732","99.925"
"2","1","6","431052","96.94847423711856","99.95"
"4","2","6","521039","96.64748561421067","99.925"
"3","1","7","342219","96.91960931630354","99.825"
"1","1","7","764162","96.47147147147147","99.9"
"2","1","7","431052","96.6224668501376","99.925"
"4","2","7","521039","96.17212909682262","99.925"
"3","1","8","342219","96.51890808915601","99.825"
"1","1","8","764162","95.9679439018282","99.825"
"2","1","8","431052","96.17212909682262","99.925"
"4","2","8","521039","95.5944931163955","99.875"
"3","1","9","342219","96.04208416833667","99.8"
"1","1","9","764162","95.44088176352705","99.8"
"2","1","9","431052","95.64564564564564","99.9"
"4","2","9","521039","94.93987975951904","99.8"
"3","1","10","342219","95.54108216432866","99.8"
"1","1","10","764162","94.66165413533835","99.75"
"2","1","10","431052","95.28940115259333","99.775"
