"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbMonoPhagoEff"
"01/25/2022 11:19:54:980 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-mono-phago-eff","[step]","getSeed","getViability","getRemainingCellRatio"
"2","0","0","673947","100","100"
"4","2","0","415448","100","100"
"3","0","0","201656","100","100"
"1","0","0","121300","100","100"
"4","2","1","415448","99.275","100"
"2","0","1","673947","99.52499999999999","100"
"3","0","1","201656","99.775","100"
"1","0","1","121300","99.65","100"
"4","2","2","415448","98.825","100"
"2","0","2","673947","99.1","100"
"3","0","2","201656","99.175","100"
"1","0","2","121300","99.375","100"
"4","2","3","415448","98.32458114528632","99.97500000000001"
"2","0","3","673947","98.32499999999999","100"
"1","0","3","121300","98.925","100"
"3","0","3","201656","98.775","100"
"4","2","4","415448","97.82445611402851","99.97500000000001"
"2","0","4","673947","97.65","100"
"1","0","4","121300","98.3","100"
"3","0","4","201656","98.275","100"
"4","2","5","415448","97.32232232232232","99.9"
"2","0","5","673947","97.3","100"
"1","0","5","121300","97.8","100"
"3","0","5","201656","97.65","100"
"4","2","6","415448","96.7967967967968","99.9"
"2","0","6","673947","96.575","100"
"1","0","6","121300","97.425","100"
"3","0","6","201656","97.3","100"
"4","2","7","415448","96.343601302279","99.825"
"2","0","7","673947","95.7","100"
"1","0","7","121300","97.02499999999999","100"
"3","0","7","201656","97","100"
"4","2","8","415448","96.01403860616696","99.725"
"2","0","8","673947","95.39999999999999","100"
"1","0","8","121300","96.6","100"
"3","0","8","201656","96.5","100"
"4","2","9","415448","95.7099849473156","99.65"
"2","0","9","673947","94.72500000000001","100"
"1","0","9","121300","96","100"
"3","0","9","201656","95.92500000000001","100"
"4","2","10","415448","95.38036655787096","99.575"
"2","0","10","673947","94.35","100"
"1","0","10","121300","95.375","100"
"3","0","10","201656","95.42500000000001","100"
"4","2","11","415448","95.15075376884423","99.5"
"2","0","11","673947","93.85","100"
"1","0","11","121300","95.05","100"
"3","0","11","201656","94.75","100"
"4","2","12","415448","94.66934875534322","99.425"
"2","0","12","673947","93.325","100"
"1","0","12","121300","94.525","100"
"3","0","12","201656","94.45","100"
"4","2","13","415448","94.28787116255661","99.35000000000001"
"2","0","13","673947","93.05","100"
"1","0","13","121300","94.1","100"
"3","0","13","201656","93.89999999999999","100"
"4","2","14","415448","93.87909319899245","99.25"
"2","0","14","673947","92.575","100"
"1","0","14","121300","93.675","100"
"3","0","14","201656","93.625","100"
"4","2","15","415448","93.64438839848675","99.125"
"2","0","15","673947","92.15","100"
"1","0","15","121300","93.22500000000001","100"
"3","0","15","201656","93.075","100"
"4","2","16","415448","93.27943405760485","98.95"
"2","0","16","673947","91.85","100"
