"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbSigInitStd"
"01/25/2022 12:05:51:222 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-sig-init-std","[step]","getSeed","getViability","getRemainingCellRatio"
"1","0","29","132753","88.49377698755397","98.425"
"2","0","28","326117","89.25494171312722","98.65"
"3","0","29","436237","87.17883490206054","98.275"
"4","10","29","875930","87.91793313069908","98.7"
"1","0","30","132753","88.02745297407219","98.35000000000001"
"2","0","29","326117","89.01851382196297","98.575"
"3","0","30","436237","86.97757390417941","98.1"
"4","10","30","875930","87.45882949075246","98.675"
"1","0","31","132753","87.92971734148205","98.175"
"2","0","30","326117","88.43226788432268","98.55000000000001"
"3","0","31","436237","86.50510204081633","98"
"4","10","31","875930","87.08449632073078","98.52499999999999"
"1","0","32","132753","87.26439123790118","98.15"
"2","0","31","326117","88.11579481970544","98.45"
"3","0","32","436237","85.98774885145482","97.95"
"4","10","32","875930","86.6243654822335","98.5"
"1","0","33","132753","86.8844092880837","97.975"
"2","0","32","326117","87.67158108795118","98.35000000000001"
"3","0","33","436237","85.47357671687516","97.925"
"4","10","33","875930","86.25158831003812","98.375"
"1","0","34","132753","86.49821337417049","97.95"
"2","0","33","326117","87.22321201323491","98.225"
"3","0","34","436237","85.00638569604087","97.875"
"1","0","35","132753","86.17782319877362","97.85000000000001"
"4","10","34","875930","85.9068939201221","98.275"
"2","0","34","326117","86.75496688741721","98.15"
"3","0","35","436237","84.73536180005114","97.775"
"4","10","35","875930","85.656050955414","98.125"
"1","0","36","132753","85.87874136607829","97.725"
"2","0","35","326117","86.3265306122449","98"
"3","0","36","436237","84.31021243921167","97.675"
"4","10","36","875930","85.33537362917623","98.02499999999999"
"1","0","37","132753","85.42893725992317","97.625"
"2","0","36","326117","85.95505617977528","97.89999999999999"
"3","0","37","436237","84.14446721311475","97.6"
"1","0","38","132753","84.7987695462702","97.52499999999999"
"4","10","37","875930","84.84307221229905","97.975"
"2","0","37","326117","85.539090444558","97.85000000000001"
"3","0","38","436237","83.6923076923077","97.5"
"4","10","38","875930","84.5131612573473","97.82499999999999"
"1","0","39","132753","84.56203442075521","97.32499999999999"
"2","0","38","326117","85.22494887525562","97.8"
"3","0","39","436237","83.55144983320503","97.425"
"4","10","39","875930","84.28461735346814","97.675"
"1","0","40","132753","84.2809364548495","97.175"
"2","0","39","326117","84.87717502558854","97.7"
"3","0","40","436237","83.02080657590547","97.32499999999999"
"4","10","40","875930","84.00410151243271","97.52499999999999"
"1","0","41","132753","84.08447077002317","97.075"
"2","0","40","326117","84.3709966692288","97.575"
"3","0","41","436237","82.77192080226278","97.225"
"1","0","42","132753","83.75032241423781","96.925"
"4","10","41","875930","83.70179948586119","97.25"
"3","0","42","436237","82.53477588871716","97.05"
"2","0","41","326117","83.98768283294842","97.425"
"1","0","43","132753","83.10113519091847","96.89999999999999"
"4","10","42","875930","83.44063868143188","97.075"
"3","0","43","436237","82.2892498066512","96.975"
"1","0","44","132753","82.82097649186257","96.775"
"2","0","42","326117","83.74903574183594","97.225"
"4","10","43","875930","83.21299638989169","96.95"
"3","0","44","436237","81.8978855079938","96.95"
"1","0","45","132753","82.43208279430789","96.625"
"2","0","43","326117","83.30331875482378","97.175"
"4","10","44","875930","82.73102736189985","96.85000000000001"
"3","0","45","436237","81.69850283944243","96.85000000000001"
"1","0","46","132753","82.08646129950814","96.575"
"2","0","44","326117","82.89541473467284","97.05"
"4","10","45","875930","82.32558139534883","96.75"
"3","0","46","436237","81.35330578512396","96.8"
"1","0","47","132753","81.80875874578906","96.475"
"2","0","45","326117","82.65806451612903","96.875"
