"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbDiffMean"
"01/25/2022 12:10:13:656 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-diff-mean","[step]","getSeed","getViability","getRemainingCellRatio"
"3","0","28","140233","96.6896551724138","90.625"
"1","0","29","769495","95.11123317769844","91.025"
"4","24","29","439708","93.22817514277943","91.925"
"2","0","28","599540","96.73184357541899","89.5"
"3","0","29","140233","96.81263858093126","90.2"
"1","0","30","769495","94.80662983425414","90.5"
"4","24","30","439708","93.43365253077975","91.375"
"2","0","29","599540","96.8285152960988","89.075"
"3","0","30","140233","96.57286152131513","89.725"
"4","24","31","439708","93.5918591859186","90.9"
"1","0","31","769495","94.94303973325924","89.97500000000001"
"2","0","30","599540","96.75782351282774","88.675"
"3","0","31","140233","96.66573269823479","89.225"
"4","24","32","439708","93.76212919323538","90.17500000000001"
"1","0","32","769495","95.15948517067712","89.35"
"2","0","31","599540","96.91218130311616","88.25"
"4","24","33","439708","94.01733296058148","89.425"
"3","0","32","140233","96.59825695811077","88.925"
"2","0","32","599540","96.90164866401363","87.94999999999999"
"1","0","33","769495","94.99155880697805","88.85"
"4","24","34","439708","94.19881723458181","88.775"
"3","0","33","140233","96.5293453724605","88.6"
"2","0","33","599540","96.97056301800514","87.47500000000001"
"1","0","34","769495","95.18686296715741","88.3"
"4","24","35","439708","94.41926345609065","88.25"
"3","0","34","140233","96.45792009067723","88.225"
"2","0","34","599540","96.72883787661407","87.125"
"1","0","35","769495","95.2991452991453","87.75"
"4","24","36","439708","94.5853519521231","87.725"
"3","0","35","140233","96.54778887303851","87.625"
"1","0","36","769495","95.41809851088202","87.3"
"2","0","35","599540","96.91197691197692","86.625"
"4","24","37","439708","94.55587392550143","87.25"
"3","0","36","140233","96.64275466284074","87.125"
"2","0","36","599540","97.01362713830096","86.225"
"1","0","37","769495","95.6221198156682","86.8"
"4","24","38","439708","94.49884792626729","86.8"
"3","0","37","140233","96.53879434669743","86.675"
"2","0","37","599540","96.6802562609202","85.85000000000001"
"1","0","38","769495","95.54398148148148","86.4"
"3","0","38","140233","96.86502177068215","86.125"
"4","24","39","439708","94.66666666666667","86.25"
"2","0","38","599540","96.78268499561275","85.475"
"1","0","39","769495","95.74963609898107","85.875"
"3","0","39","140233","96.67832167832168","85.8"
"4","24","40","439708","94.6095571095571","85.8"
"2","0","39","599540","96.6255868544601","85.2"
"1","0","40","769495","95.86631486367634","85.275"
"4","24","41","439708","94.52896430661205","85.45"
"3","0","40","140233","96.72131147540983","85.39999999999999"
"1","0","41","769495","95.75846833578792","84.875"
"2","0","40","599540","96.55172413793103","84.82499999999999"
"3","0","41","140233","96.55882352941177","85"
"4","24","42","439708","94.59618208516886","85.125"
"1","0","42","769495","95.88148148148147","84.375"
"2","0","41","599540","96.62322274881517","84.39999999999999"
"3","0","42","140233","96.5405085748078","84.55"
"1","0","43","769495","95.86309523809524","84"
"4","24","43","439708","94.45264089701976","84.725"
"2","0","42","599540","96.6030989272944","83.89999999999999"
"3","0","43","140233","96.45938708717644","84.025"
"1","0","44","769495","95.84205803170805","83.575"
"4","24","44","439708","94.57295373665481","84.3"
"2","0","43","599540","96.7326139088729","83.39999999999999"
"3","0","44","140233","96.26754255001492","83.72500000000001"
"1","0","45","769495","95.73317307692307","83.2"
"4","24","45","439708","94.88942020322774","83.65"
"2","0","44","599540","96.8033775633293","82.89999999999999"
"3","0","45","140233","96.12961296129613","83.325"
"1","0","46","769495","95.85727245237375","82.675"
"4","24","46","439708","94.74474474474475","83.25"
"2","0","45","599540","96.72727272727273","82.5"
"3","0","46","140233","96.13876319758673","82.875"
"2","0","46","599540","96.52862362971986","82.1"
"1","0","47","769495","96.01217656012176","82.125"
"4","24","47","439708","94.88808227465215","82.65"
"3","0","47","140233","96.02427921092564","82.375"
"2","0","47","599540","96.7504598405886","81.55"
"1","0","48","769495","96.1456102783726","81.72500000000001"
"4","24","48","439708","95.21778860798051","82.075"
"3","0","48","140233","96.12095296273672","81.85"
"2","0","48","599540","96.82686383240912","81.15"
"1","0","49","769495","96.40110735158413","81.27499999999999"
"4","24","49","439708","95.22643818849448","81.69999999999999"
"3","0","49","140233","96.34183830310482","81.325"
"2","0","49","599540","96.57195799876467","80.95"
"1","0","50","769495","96.2037037037037","81"
"3","0","50","140233","96.35577516985794","80.95"
"4","24","50","439708","95.53846153846153","81.25"
"2","0","50","599540","96.52820830750156","80.65"
"1","0","51","769495","96.3388147688489","80.575"
"3","0","51","140233","96.18367980142725","80.575"
"2","0","51","599540","96.54850746268657","80.4"
"4","24","51","439708","95.69526169092597","80.72500000000001"
"1","0","52","769495","96.3182527301092","80.125"
"3","0","52","140233","96.1981925833593","80.22500000000001"
"4","24","52","439708","95.75795383655645","80.15"
"2","0","52","599540","96.2916796509816","80.22500000000001"
"1","0","53","769495","96.54522613065326","79.60000000000001"
"3","0","53","140233","96.15504845264144","79.975"
"2","0","53","599540","96.21046038208581","79.825"
"4","24","53","439708","95.7640414182617","79.675"
"1","0","54","769495","96.6235405490691","79.225"
"3","0","54","140233","96.07781612802007","79.675"
"2","0","54","599540","96.34760705289672","79.4"
"4","24","54","439708","95.77153676238561","79.225"
"1","0","55","769495","96.53858367735789","78.725"
"3","0","55","140233","96.15141955835962","79.25"
"2","0","55","599540","96.3619107877254","79.025"
"4","24","55","439708","95.90216010165184","78.7"
"1","0","56","769495","96.5847430577721","78.325"
"2","0","56","599540","96.49904519414386","78.55"
"3","0","56","140233","96.28689304982545","78.77499999999999"
"4","24","56","439708","96.02945885366636","78.075"
"1","0","57","769495","96.62487945998072","77.775"
"3","0","57","140233","96.55392469687301","78.35"
"2","0","57","599540","96.51423089222897","78.175"
"4","24","57","439708","95.72759396080951","77.825"
"1","0","58","769495","96.18986115595737","77.425"
"3","0","58","140233","96.63245670301475","77.95"
"2","0","58","599540","96.51949726071544","77.575"
"1","0","59","769495","96.26502111075025","76.97500000000001"
"4","24","58","439708","95.74468085106383","77.55"
"3","0","59","140233","96.48840206185567","77.60000000000001"
"2","0","59","599540","96.24473939786338","77.225"
"1","0","60","769495","96.47519582245431","76.6"
"4","24","59","439708","95.72400388726919","77.17500000000001"
"3","0","60","140233","96.3777490297542","77.3"
"2","0","60","599540","96.03509912252194","76.925"
"1","0","61","769495","96.65134602757715","76.14999999999999"
"4","24","60","439708","96.02217150309748","76.67500000000001"
"2","0","61","599540","95.59543230016313","76.625"
"3","0","61","140233","96.42392717815345","76.9"
"4","24","61","439708","96.32786885245902","76.25"
"1","0","62","769495","96.6688654353562","75.8"
"2","0","62","599540","95.70350934732699","76.225"
"3","0","62","140233","96.47174126102581","76.525"
"4","24","62","439708","96.37919684002634","75.94999999999999"
"1","0","63","769495","96.48657606894265","75.425"
"2","0","63","599540","95.57609772202046","75.725"
"3","0","63","140233","96.4250573958675","76.225"
"4","24","63","439708","96.45812644819596","75.52499999999999"
"1","0","64","769495","96.37029637029637","75.075"
"2","0","64","599540","95.58579488881513","75.325"
"3","0","64","140233","96.27677100494235","75.875"
"1","0","65","769495","96.32107023411372","74.75"
"4","24","64","439708","96.5046604527297","75.1"
"2","0","65","599540","95.46061415220294","74.9"
"1","0","66","769495","96.50537634408603","74.4"
"3","0","65","140233","96.25827814569536","75.5"
"4","24","65","439708","96.64991624790619","74.625"
"1","0","67","769495","96.25884732052579","74.175"
"3","0","66","140233","96.17049617049616","75.075"
"2","0","66","599540","95.40422676954043","74.52499999999999"
"4","24","66","439708","96.66666666666667","74.25"
"3","0","67","140233","96.34840871021775","74.625"
"2","0","67","599540","95.34412955465586","74.1"
"1","0","68","769495","96.6078697421981","73.7"
"4","24","67","439708","96.81571815718158","73.8"
"2","0","68","599540","95.25262800949474","73.725"
"3","0","68","140233","96.26639757820384","74.325"
"4","24","68","439708","96.90265486725663","73.45"
"1","0","69","769495","96.45897173987062","73.425"
"2","0","69","599540","95.55555555555556","73.125"
"3","0","69","140233","96.37901861252115","73.875"
"4","24","69","439708","96.81833732466643","73.075"
"1","0","70","769495","96.70442842430485","72.82499999999999"
"2","0","70","599540","95.59380378657487","72.625"
"3","0","70","140233","96.59400544959128","73.4"
"4","24","70","439708","97.10544452101999","72.55"
"1","0","71","769495","96.27457744049673","72.475"
"2","0","71","599540","95.7624175060785","71.975"
"4","24","71","439708","97.0242214532872","72.25"
"3","0","71","140233","96.58002735978111","73.1"
"1","0","72","769495","96.45833333333333","72"
"2","0","72","599540","95.98042642432716","71.525"
"3","0","72","140233","96.42119752236752","72.65"
"4","24","72","439708","96.73611111111111","72"
"1","0","73","769495","96.61076170510132","71.55"
"2","0","73","599540","95.92696629213484","71.2"
"4","24","73","439708","96.61785216178521","71.7"
"3","0","73","140233","96.43598615916954","72.25"
"1","0","74","769495","96.42105263157895","71.25"
"2","0","74","599540","95.55398729710657","70.85000000000001"
"4","24","74","439708","96.49614576033638","71.35000000000001"
"3","0","74","140233","96.14181438998958","71.925"
"1","0","75","769495","96.33415579837857","70.92500000000001"
"2","0","75","599540","95.73863636363636","70.39999999999999"
"4","24","75","439708","96.68897499119409","70.975"
"1","0","76","769495","96.3159759121502","70.575"
"3","0","75","140233","96.26004893393917","71.525"
"2","0","76","599540","96.10436025732666","69.95"
"1","0","77","769495","96.54927072216293","70.275"
"4","24","76","439708","96.60657476139978","70.72500000000001"
"3","0","76","140233","96.10115911485775","71.175"
"2","0","77","599540","96.1248654467169","69.675"
"1","0","78","769495","96.35844341306677","70.025"
"4","24","77","439708","96.55662051828186","70.42500000000001"
"3","0","77","140233","96.08189198729262","70.825"
"2","0","78","599540","95.96687072380267","69.425"
"1","0","79","769495","96.10017889087656","69.875"
"4","24","78","439708","96.3623395149786","70.1"
"3","0","78","140233","96.09790705924087","70.475"
"2","0","79","599540","95.95083152566883","69.15"
"1","0","80","769495","95.87073608617594","69.625"
"4","24","79","439708","96.30294328786792","69.65"
"3","0","79","140233","95.9700427960057","70.1"
"2","0","80","599540","96.00580973129993","68.85"
"1","0","81","769495","95.85436193222783","69.35"
"2","0","81","599540","96.09631521342575","68.525"
"4","24","80","439708","96.5679190751445","69.19999999999999"
"3","0","80","140233","95.91544249372984","69.77499999999999"
"4","24","81","439708","96.51542649727767","68.875"
"1","0","82","769495","95.91172214182345","69.1"
"2","0","82","599540","96.04685212298682","68.30000000000001"
"3","0","81","140233","95.93232541396688","69.45"
"4","24","82","439708","96.42335766423358","68.5"
"2","0","83","599540","96.14112458654907","68.025"
"3","0","82","140233","95.88150289017341","69.19999999999999"
"1","0","83","769495","96.00145401672118","68.77499999999999"
"4","24","83","439708","96.6188901139287","68.025"
"1","0","84","769495","95.91539022611232","68.55"
"2","0","84","599540","96.05311693102176","67.77499999999999"
"3","0","83","140233","95.58131111915972","69.025"
"4","24","84","439708","96.45756457564576","67.75"
"2","0","85","599540","96","67.5"
"3","0","84","140233","95.2087114337568","68.875"
"1","0","85","769495","95.61563755937158","68.425"
"4","24","85","439708","96.29629629629629","67.5"
"2","0","86","599540","95.87360594795538","67.25"
"1","0","86","769495","95.38630538264373","68.27499999999999"
"3","0","85","140233","95.25547445255475","68.5"
"4","24","86","439708","96.20253164556962","67.15"
"2","0","87","599540","95.56962025316456","67.15"
"3","0","86","140233","95.26952695269527","68.175"
"1","0","87","769495","95.47294810452705","67.925"
"4","24","87","439708","96.22429906542055","66.875"
"2","0","88","599540","95.29499626587005","66.95"
"1","0","88","769495","95.42097488921713","67.7"
"3","0","87","140233","95.0976778474014","67.825"
"4","24","88","439708","96.35475385193536","66.525"
"2","0","89","599540","95.2023988005997","66.7"
"3","0","88","140233","95.00554938956715","67.575"
"1","0","89","769495","95.32814238042269","67.425"
"4","24","89","439708","96.1117402793507","66.225"
"2","0","90","599540","94.92671927846675","66.525"
"3","0","89","140233","94.91839762611276","67.4"
"4","24","90","439708","96.46790733004178","65.825"
"1","0","90","769495","95.15828677839852","67.125"
"2","0","91","599540","94.83798040693293","66.35"
"3","0","90","140233","94.63687150837988","67.125"
"1","0","91","769495","95.21316379955124","66.85"
"4","24","91","439708","96.1875714830347","65.575"
"2","0","92","599540","94.52210049112203","66.175"
"1","0","92","769495","95.1951951951952","66.60000000000001"
"3","0","91","140233","94.2910447761194","67"
"4","24","92","439708","96.0919540229885","65.25"
"2","0","93","599540","94.39181508147026","65.975"
"3","0","92","140233","94.23868312757202","66.825"
"1","0","93","769495","94.95481927710844","66.4"
"4","24","93","439708","95.80930411380238","65.025"
"2","0","94","599540","94.1869300911854","65.8"
"1","0","94","769495","95.08506616257088","66.125"
"2","0","95","599540","94.16698436904308","65.575"
"3","0","93","140233","94.22355588897224","66.64999999999999"
"4","24","94","439708","95.89465530596438","64.55"
"1","0","95","769495","94.69897765997727","66.025"
"2","0","96","599540","93.91736801836267","65.35"
"3","0","94","140233","94.08885542168674","66.4"
"4","24","95","439708","95.88029537504859","64.325"
"1","0","96","769495","94.38116932422172","65.85"
"3","0","95","140233","93.94398183194551","66.05"
"4","24","96","439708","96.051602814699","63.949999999999996"
"2","0","97","599540","93.58925143953934","65.125"
"1","0","97","769495","94.35760579489134","65.575"
"2","0","98","599540","93.37442218798151","64.9"
"3","0","96","140233","93.62428842504744","65.875"
"4","24","97","439708","96.15082482325215","63.65"
"1","0","98","769495","94.25947187141217","65.325"
"3","0","97","140233","93.18614389036924","65.675"
"2","0","99","599540","93.0582337061319","64.825"
"4","24","98","439708","95.9022852639874","63.449999999999996"
"1","0","99","769495","94.04761904761905","65.10000000000001"
"2","0","100","599540","92.84885968303054","64.67500000000001"
"3","0","98","140233","92.81070745697897","65.375"
"4","24","99","439708","96.12034837688044","63.14999999999999"
"1","0","100","769495","93.9522342064715","64.9"
"3","0","99","140233","92.77478862413528","65.05"
"2","0","101","599540","92.48062015503876","64.5"
"4","24","100","439708","95.86645468998411","62.9"
"1","0","101","769495","93.85863267670915","64.725"
"2","0","102","599540","92.45723172628306","64.3"
"3","0","100","140233","92.93708992666923","64.775"
"4","24","101","439708","95.73705179282868","62.74999999999999"
"1","0","102","769495","93.68950832365466","64.575"
"2","0","103","599540","92.51170046801872","64.1"
"3","0","101","140233","92.9124709527498","64.55"
"1","0","103","769495","93.36180124223603","64.4"
"4","24","102","439708","95.76169532187126","62.525"
"2","0","104","599540","92.22048475371383","63.949999999999996"
"3","0","102","140233","92.82110981761738","64.425"
"1","0","104","769495","93.1490852471779","64.225"
"4","24","103","439708","95.6312625250501","62.375"
"2","0","105","599540","92.15686274509804","63.74999999999999"
"3","0","103","140233","92.49902837155072","64.325"
"1","0","105","769495","93.01327088212335","64.05"
"2","0","106","599540","91.82711198428291","63.625"
"4","24","104","439708","95.50020088388911","62.224999999999994"
"3","0","104","140233","92.13089209193612","64.17500000000001"
"1","0","106","769495","92.99687010954617","63.9"
"2","0","107","599540","91.65682802046439","63.525"
"4","24","105","439708","95.28795811518324","62.075"
"3","0","105","140233","91.7936694021102","63.975"
"1","0","107","769495","92.70302079246764","63.725"
"2","0","108","599540","91.29578574241827","63.475"
"4","24","106","439708","95.03431570448123","61.925"
"3","0","106","140233","91.46436961628818","63.849999999999994"
"2","0","109","599540","90.8014212396368","63.324999999999996"
"4","24","107","439708","94.73257698541329","61.7"
"1","0","108","769495","92.57075471698113","63.6"
"3","0","107","140233","91.13029827315542","63.7"
"2","0","110","599540","90.54588607594937","63.2"
"1","0","109","769495","92.51083957430035","63.425"
"4","24","108","439708","94.66395112016293","61.375"
"3","0","108","140233","90.52300432559969","63.575"
"2","0","111","599540","90.31746031746032","63"
"1","0","110","769495","92.25908372827804","63.3"
"4","24","109","439708","94.84029484029483","61.050000000000004"
"3","0","109","140233","90.27176053564395","63.475"
"1","0","111","769495","92.03960396039605","63.125"
"2","0","112","599540","90.2109033028253","62.824999999999996"
"4","24","110","439708","94.97528830313014","60.699999999999996"
"3","0","110","140233","90.01184366363995","63.324999999999996"
"2","0","113","599540","89.83658828218414","62.724999999999994"
"1","0","112","769495","92.01112877583466","62.9"
"4","24","111","439708","94.6023897816234","60.675000000000004"
"3","0","111","140233","90.02770083102493","63.175000000000004"
"2","0","114","599540","89.6964856230032","62.6"
"1","0","113","769495","91.75298804780877","62.74999999999999"
