"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbSigInit"
"01/25/2022 12:02:50:519 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-sig-init","[step]","getSeed","getViability","getRemainingCellRatio"
"2","0","0","639206","100","100"
"4","30","0","107663","100","100"
"3","0","0","388025","100","100"
"1","0","0","279743","100","100"
"4","30","1","107663","99.4","100"
"3","0","1","388025","99.4","100"
"2","0","1","639206","99.47500000000001","100"
"1","0","1","279743","99.5","100"
"3","0","2","388025","99.12478119529882","99.97500000000001"
"2","0","2","639206","99.075","100"
"4","30","2","107663","99.05000000000001","100"
"1","0","2","279743","99.1","100"
"3","0","3","388025","98.62465616404101","99.97500000000001"
"2","0","3","639206","98.475","100"
"4","30","3","107663","98.475","100"
"1","0","3","279743","98.75","100"
"2","0","4","639206","97.925","100"
"3","0","4","388025","98.27456864216055","99.97500000000001"
"4","30","4","107663","97.975","100"
"1","0","4","279743","98.32458114528632","99.97500000000001"
"2","0","5","639206","97.47310482862147","99.925"
"3","0","5","388025","97.74831123342507","99.925"
"4","30","5","107663","97.475","100"
"1","0","5","279743","98.024012006003","99.95"
"2","0","6","639206","96.8945654896068","99.825"
"3","0","6","388025","97.2972972972973","99.9"
"4","30","6","107663","96.8984492246123","99.95"
"1","0","6","279743","97.64764764764764","99.9"
"2","0","7","639206","96.36773547094188","99.8"
"3","0","7","388025","96.87187187187187","99.9"
"4","30","7","107663","96.47147147147147","99.9"
"1","0","7","279743","97.24655819774718","99.875"
"2","0","8","639206","95.81663326653307","99.8"
"3","0","8","388025","96.44377660906586","99.825"
"4","30","8","107663","95.94493116395493","99.875"
"1","0","8","279743","96.87108886107634","99.875"
"2","0","9","639206","95.31093279839519","99.7"
"3","0","9","388025","95.94188376753507","99.8"
"4","30","9","107663","95.46479579052868","99.775"
"1","0","9","279743","96.39368895567243","99.825"
"2","0","10","639206","94.90461847389558","99.6"
"3","0","10","388025","95.46593186372746","99.8"
"4","30","10","107663","94.98872463041845","99.775"
"1","0","10","279743","95.99097970433476","99.775"
"2","0","11","639206","94.47236180904522","99.5"
"3","0","11","388025","95.23451216453473","99.675"
"1","0","11","279743","95.46365914786968","99.75"
"4","30","11","107663","94.66031586863876","99.725"
"2","0","12","639206","94.0422322775264","99.45"
"3","0","12","388025","94.97991967871486","99.6"
"4","30","12","107663","94.05866131862622","99.725"
"1","0","12","279743","95.00877853022322","99.675"
"2","0","13","639206","93.43396226415094","99.375"
"3","0","13","388025","94.50163193572683","99.575"
"4","30","13","107663","93.555667001003","99.7"
"1","0","13","279743","94.45420326223338","99.625"
"3","0","14","388025","94.04372958029656","99.47500000000001"
"2","0","14","639206","93.02793858545179","99.325"
"4","30","14","107663","93.15274642588413","99.675"
"1","0","14","279743","94.00100401606426","99.6"
"3","0","15","388025","93.58974358974359","99.45"
"2","0","15","639206","92.49559304960967","99.275"
"4","30","15","107663","92.52383341695935","99.65"
"1","0","15","279743","93.5208437970869","99.55000000000001"
"3","0","16","388025","93.00804828973843","99.4"
"2","0","16","639206","91.98992443324937","99.25"
"4","30","16","107663","92.24008036162732","99.55000000000001"
"1","0","16","279743","93.18924352852476","99.47500000000001"
"2","0","17","639206","91.5070564516129","99.2"
"3","0","17","388025","92.70256668344238","99.35000000000001"
"4","30","17","107663","91.90344480764395","99.425"
"1","0","17","279743","92.75653923541248","99.4"
"3","0","18","388025","92.42576748867639","99.35000000000001"
"2","0","18","639206","90.95034030753718","99.175"
"4","30","18","107663","91.31857070961247","99.35000000000001"
"1","0","18","279743","92.3754403623553","99.35000000000001"
"3","0","19","388025","91.81566356081592","99.275"
"2","0","19","639206","90.49420070600101","99.15"
"4","30","19","107663","90.93198992443325","99.25"
"1","0","19","279743","91.88916876574307","99.25"
"3","0","20","388025","91.65616334761785","99.175"
"2","0","20","639206","90.13622603430878","99.1"
"4","30","20","107663","90.40060468631897","99.225"
"1","0","20","279743","91.48185483870968","99.2"
"3","0","21","388025","91.36799596163554","99.05000000000001"
"2","0","21","639206","89.84848484848484","99"
"4","30","21","107663","90.06555723651034","99.15"
"1","0","21","279743","90.8219868885527","99.15"
"3","0","22","388025","90.95959595959596","99"
"2","0","22","639206","89.5575221238938","98.875"
"4","30","22","107663","89.88650693568727","99.125"
"1","0","22","279743","90.43170916435244","99.02499999999999"
"3","0","23","388025","90.54361567635904","98.875"
"2","0","23","639206","89.14748292436124","98.825"
"4","30","23","107663","89.47766843300529","99.075"
"1","0","23","279743","89.81551680566085","98.925"
"3","0","24","388025","90.05566801619433","98.8"
"2","0","24","639206","88.8382687927107","98.775"
"4","30","24","107663","89.33804951995957","98.95"
"1","0","24","279743","89.5748987854251","98.8"
"3","0","25","388025","89.53900709219859","98.7"
"2","0","25","639206","88.5482645046871","98.675"
"1","0","25","279743","89.27125506072875","98.8"
"4","30","25","107663","88.79898862199748","98.875"
"3","0","26","388025","89.24403855910705","98.55000000000001"
"2","0","26","639206","88.30839462338321","98.575"
"1","0","26","279743","88.93390731830844","98.725"
"4","30","26","107663","88.59382903388973","98.85000000000001"
"3","0","27","388025","88.71131405377982","98.55000000000001"
"1","0","27","279743","88.49467815509377","98.65"
"2","0","27","639206","87.91264601320468","98.45"
"4","30","27","107663","88.25316455696203","98.75"
"3","0","28","388025","88.29057658115316","98.425"
"2","0","28","639206","87.3253746507493","98.425"
"1","0","28","279743","88.09040121889285","98.45"
"4","30","28","107663","87.74062816616008","98.7"
"3","0","29","388025","87.94813119755912","98.32499999999999"
"2","0","29","639206","86.98525673614643","98.35000000000001"
"1","0","29","279743","87.89112185194608","98.275"
"4","30","29","107663","87.42712294043092","98.625"
"3","0","30","388025","87.57953677780606","98.225"
"2","0","30","639206","86.73962840417408","98.225"
"1","0","30","279743","87.60498854670399","98.225"
"4","30","30","107663","87.28103579588729","98.475"
"3","0","31","388025","87.38210553148102","98.075"
"2","0","31","639206","86.51885830784913","98.1"
"1","0","31","279743","87.16577540106952","98.175"
"4","30","31","107663","87.0902160101652","98.375"
"3","0","32","388025","87.13957642255677","97.975"
"2","0","32","639206","86.03109864899312","98.075"
"1","0","32","279743","86.92660550458714","98.1"
"4","30","32","107663","86.65987780040734","98.2"
"3","0","33","388025","86.67347459790656","97.925"
"2","0","33","639206","85.82375478927203","97.875"
"1","0","33","279743","86.60030627871363","97.95"
"4","30","33","107663","86.18756371049949","98.1"
"3","0","34","388025","86.39038117165515","97.725"
"2","0","34","639206","85.4661558109834","97.875"
"1","0","34","279743","86.25447112927951","97.85000000000001"
"4","30","34","107663","85.62691131498471","98.1"
"3","0","35","388025","85.99590373783921","97.65"
"1","0","35","279743","85.96266939401687","97.775"
"2","0","35","639206","85.0830140485313","97.875"
"4","30","35","107663","85.18990568442518","98.075"
"3","0","36","388025","85.45081967213115","97.6"
"1","0","36","279743","85.67041965199591","97.7"
"2","0","36","639206","84.85546175492453","97.725"
"4","30","36","107663","84.89795918367346","98"
"3","0","37","388025","85.1832863368367","97.52499999999999"
"1","0","37","279743","85.32650448143406","97.625"
"2","0","37","639206","84.38300051203277","97.65"
"3","0","38","388025","84.60749102103642","97.45"
"4","30","37","107663","84.66054109239408","97.95"
"1","0","38","279743","85.17188301693176","97.45"
"2","0","38","639206","84.14040481680757","97.575"
"3","0","39","388025","84.18485237483954","97.375"
"4","30","38","107663","84.45012787723786","97.75"
"1","0","39","279743","84.97302851271513","97.32499999999999"
"2","0","39","639206","83.86765837394204","97.475"
"3","0","40","388025","84.01439218709842","97.275"
"4","30","39","107663","84.0594566888775","97.55"
"1","0","40","279743","84.71042471042472","97.125"
"2","0","40","639206","83.70179948586119","97.25"
"3","0","41","388025","83.76222336592897","97.15"
"4","30","40","107663","83.58553475250065","97.475"
"1","0","41","279743","84.33797011849562","97.05"
"2","0","41","639206","83.2389289392379","97.1"
"4","30","41","107663","83.15789473684211","97.375"
"3","0","42","388025","83.47938144329898","97"
"1","0","42","279743","84.0216830149716","96.85000000000001"
"2","0","42","639206","82.91237113402062","97"
"3","0","43","388025","83.14403717088281","96.85000000000001"
"4","30","42","107663","82.7426810477658","97.35000000000001"
"1","0","43","279743","83.8334195550957","96.65"
"2","0","43","639206","82.32714138286894","96.89999999999999"
"3","0","44","388025","82.7559462254395","96.7"
"1","0","44","279743","83.48006214396686","96.55"
"4","30","43","107663","82.41193108768321","97.225"
"2","0","44","639206","82.14931542237149","96.775"
"3","0","45","388025","82.56928256928256","96.525"
"4","30","44","107663","82.08955223880598","97.15"
"1","0","45","279743","83.30741316744427","96.45"
"2","0","45","639206","81.93114159979291","96.575"
"3","0","46","388025","82.23086900129701","96.375"
"4","30","45","107663","81.90255220417633","96.975"
"1","0","46","279743","82.9356846473029","96.39999999999999"
"2","0","46","639206","81.49300155520996","96.45"
"3","0","47","388025","82.03530633437175","96.3"
"4","30","46","107663","81.6258064516129","96.875"
"1","0","47","279743","82.65385614126201","96.275"
"2","0","47","639206","81.20456905503634","96.3"
"3","0","48","388025","81.5180660254744","96.175"
"4","30","47","107663","81.3905401912639","96.72500000000001"
"1","0","48","279743","82.04728500909327","96.22500000000001"
"2","0","48","639206","81.05016896282817","96.175"
"3","0","49","388025","81.13453031485818","96.075"
"1","0","49","279743","81.61726469058762","96.15"
"4","30","48","107663","81.0719834282755","96.55"
"2","0","49","639206","80.66025474395633","96.175"
"3","0","50","388025","80.85438916384476","95.975"
"1","0","50","279743","81.4207650273224","96.075"
"4","30","49","107663","80.72039388442602","96.475"
"2","0","50","639206","80.24980483996877","96.075"
"3","0","51","388025","80.41720990873533","95.875"
"1","0","51","279743","81.09375","96"
"4","30","50","107663","80.39979231568016","96.3"
"2","0","51","639206","79.95313720385316","96.025"
"3","0","52","388025","80.10977522216413","95.65"
"1","0","52","279743","80.75619295958279","95.875"
"4","30","51","107663","80.10920436817473","96.15"
"2","0","52","639206","79.73924380704041","95.875"
"3","0","53","388025","79.68096234309623","95.6"
"1","0","53","279743","80.44386422976501","95.75"
"4","30","52","107663","79.921875","96"
"2","0","53","639206","79.46708463949844","95.7"
"3","0","54","388025","79.37712640669982","95.525"
"1","0","54","279743","80.11512297226582","95.55"
"4","30","53","107663","79.64555642428981","95.92500000000001"
