"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbLayers"
"01/25/2022 11:14:57:509 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-layers","[step]","getSeed","getViability","getRemainingCellRatio"
"1","1","0","5960","100","100"
"3","1","0","496093","100","100"
"2","1","0","971811","100","100"
"4","2","0","995375","100","100"
"3","1","1","496093","99.5","100"
"2","1","1","971811","99.52499999999999","100"
"1","1","1","5960","99.47500000000001","100"
"4","2","1","995375","99.47500000000001","100"
"3","1","2","496093","98.97500000000001","100"
"1","1","2","5960","99.175","100"
"2","1","2","971811","99.175","100"
"3","1","3","496093","98.375","100"
"1","1","3","5960","98.575","100"
"2","1","3","971811","98.575","100"
"4","2","2","995375","98.65","100"
"1","1","4","5960","98.12406203101551","99.95"
"3","1","4","496093","97.72443110777694","99.97500000000001"
"2","1","4","971811","98.3745936484121","99.97500000000001"
"4","2","3","995375","98.37418709354677","99.95"
"1","1","5","5960","97.57317988491369","99.925"
"3","1","5","496093","97.1735867933967","99.95"
"2","1","5","971811","97.82445611402851","99.97500000000001"
"1","1","6","5960","97.04704704704706","99.9"
"3","1","6","496093","96.69752314235677","99.925"
"2","1","6","971811","97.29864932466234","99.95"
"4","2","4","995375","97.79889944972486","99.95"
"1","1","7","5960","96.49386426245931","99.825"
"2","1","7","971811","96.72336168084043","99.95"
"3","1","7","496093","96.39549436795996","99.875"
"1","1","8","5960","96.06614883487848","99.775"
"4","2","5","995375","97.52314235676758","99.925"
"2","1","8","971811","96.37318659329665","99.95"
"3","1","8","496093","95.94391587381071","99.85000000000001"
"1","1","9","5960","95.46138415245737","99.7"
"2","1","9","971811","95.79789894947474","99.95"
"3","1","9","496093","95.58897243107769","99.75"
"4","2","6","995375","97.27090635953931","99.85000000000001"
"1","1","10","5960","95.15562248995984","99.6"
"2","1","10","971811","95.47160370277709","99.925"
"3","1","10","496093","95.23451216453473","99.675"
"1","1","11","5960","94.627165453176","99.575"
"4","2","7","995375","96.76934635612322","99.825"
"2","1","11","971811","95.01877346683354","99.875"
"3","1","11","496093","95.02762430939227","99.55000000000001"
"1","1","12","5960","94.09696056267269","99.52499999999999"
"2","1","12","971811","94.3915873810716","99.85000000000001"
"3","1","12","496093","94.54499748617395","99.45"
"4","2","8","995375","96.29351364888555","99.825"
"1","1","13","5960","93.74057315233786","99.45"
"2","1","13","971811","93.84076114171258","99.85000000000001"
"3","1","13","496093","94.04073422177521","99.425"
"1","1","14","5960","93.30985915492957","99.4"
"4","2","9","995375","95.56724267468068","99.825"
"2","1","14","971811","93.28489100476071","99.775"
"3","1","14","496093","93.78616352201257","99.375"
"1","1","15","5960","92.90030211480362","99.3"
"2","1","15","971811","92.98069691652043","99.725"
"3","1","15","496093","93.42900302114803","99.3"
"4","2","10","995375","95.14149762083647","99.825"
"1","1","16","5960","92.71122320302648","99.125"
"3","1","16","496093","92.86974048878811","99.225"
"2","1","16","971811","92.66884258096913","99.575"
"1","1","17","5960","92.42997728993187","99.075"
"4","2","11","995375","94.66165413533835","99.75"
"1","1","18","5960","92.22222222222223","99"
"2","1","17","971811","92.41206030150754","99.5"
"3","1","17","496093","92.53279515640767","99.1"
"1","1","19","5960","91.6835187057634","98.9"
"4","2","12","995375","94.35807422266801","99.7"
"2","1","18","971811","92.00804222166373","99.47500000000001"
"3","1","18","496093","92.27662796567391","99.05000000000001"
"1","1","20","5960","91.39893751581077","98.825"
"2","1","19","971811","91.69602415702064","99.35000000000001"
"3","1","19","496093","91.79085627683759","98.97500000000001"
"4","2","13","995375","93.8785750125439","99.65"
"1","1","21","5960","90.9665991902834","98.8"
"2","1","20","971811","91.33719466129439","99.275"
"3","1","20","496093","91.33400707427994","98.95"
"1","1","22","5960","90.65822784810126","98.75"
"4","2","14","995375","93.22289156626506","99.6"
"2","1","21","971811","90.85181451612904","99.2"
"3","1","21","496093","90.94816687737041","98.875"
