apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.11685695090964,2540.223300000001,56.0
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.11685695090964,2540.223300000001,52.0
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.46279463088903,2542.6803,55.0
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.46279463088903,2542.6803,53.0
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.46279463088903,2542.6803,51.0
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.587939066775256,2553.7083,50.0
5,5,2,162,65,16,86,5,2,3,2,2,130,12,46,64,10,1258,0.6144364955843454,59.587939066775256,2553.7083,54.0
4,9,1,35,11,2,78,2,3,2,3,3,179,56,0,59,15,764,0.5912304817664042,62.11697312349989,2120.6143,55.0
4,9,1,35,11,2,78,2,3,2,3,3,179,56,0,59,15,764,0.5912304817664042,62.11697312349989,2120.6603,53.0
4,9,1,35,11,2,78,2,3,2,3,3,179,56,0,59,15,764,0.5912304817664042,62.25191832229146,2120.6653,52.0
4,9,1,35,11,2,78,2,3,2,3,3,179,56,0,59,15,764,0.5912304817664042,62.25191832229146,2120.6373,54.0
4,9,1,35,11,2,78,2,3,2,3,3,179,56,0,59,15,764,0.5912304817664042,62.38686352108303,2120.6703,51.0
4,9,1,35,11,2,78,2,3,2,3,3,179,56,0,59,15,764,0.5912304817664042,62.48562271575693,2120.6653,50.0
3,4,3,65,11,2,50,5,3,2,3,3,171,56,37,71,34,1548,0.4958829328080874,65.35322731112532,2312.8053,50.0
3,4,3,65,11,2,50,5,3,2,3,3,171,56,37,71,34,1548,0.4958829328080874,65.46152960059709,2312.4423,53.0
3,4,3,65,11,2,50,5,3,2,3,3,171,56,37,71,34,1548,0.4958829328080874,65.46152960059709,2313.1683000000003,51.0
3,4,3,65,11,2,50,5,3,2,3,3,171,56,37,71,34,1548,0.4958829328080874,65.61067431910317,2312.8053,54.0
