delta_fitness_via,delta_fitness_conc, apoCellsMovementProba, needSigCellsMvtProba, layersAroundNLC, antiApoBoost, monoPhagoEff, nlcPhagoEff, macroPhagoEff, macroKillEff, cllSensingDistance, monocyteSensingDistance, nlcSensingDistance, macrophageSensingDistance, nlcThreshold, signalInitMean, signalInitStd, monoDiffThreshold , monoDiffTimeStd, gammaLifeInitRate, gammaLifeInitShape
112.76203643470464,4106.6003,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 67, 38, 70, 6, 2422, 0.202652757810829
113.07175745750236,4099.1463,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 67, 38, 70, 6, 2422, 0.202652757810829
113.3814784803001,4091.6923,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 67, 38, 70, 6, 2422, 0.202652757810829
114.0924049437742,4075.2573,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 67, 38, 70, 6, 2422, 0.202652757810829
120.7013449393763,4015.8243,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 60, 38, 70, 6, 2422, 0.2026710160268233
121.67041771598292,3994.0373,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 60, 38, 70, 6, 2422, 0.2026710160268233
122.63949049258954,3972.2503000000006,9, 8, 3, 173, 75, 81, 37, 0, 3, 2, 1, 1, 118, 60, 38, 70, 6, 2422, 0.2026710160268233
124.8572094495824,2755.6863000000003,6, 10, 2, 173, 54, 4, 92, 0, 3, 3, 2, 2, 104, 68, 11, 51, 0, 2320, 0.2205095353740772
132.19355493984096,2698.432300000001,6, 10, 2, 173, 54, 4, 92, 0, 3, 3, 2, 2, 104, 68, 11, 51, 0, 2320, 0.2195297805466466
133.47066660561558,2660.492300000001,6, 10, 2, 173, 54, 4, 92, 0, 3, 3, 2, 2, 104, 68, 11, 51, 0, 2320, 0.2195297805466466
134.74777827139016,2622.5523000000003,6, 10, 2, 173, 54, 4, 92, 0, 3, 3, 2, 2, 104, 68, 11, 51, 0, 2320, 0.2195297805466466
135.29604842301612,2620.6833000000006,6, 10, 2, 173, 54, 4, 92, 0, 3, 3, 2, 2, 104, 68, 11, 51, 0, 2320, 0.2195297805466466
149.9820491957269,2157.6703000000007,6, 8, 2, 140, 54, 24, 88, 0, 3, 1, 1, 3, 100, 68, 4, 48, 6, 1981, 0.2442419640197287
151.0876610755987,2156.765300000001,6, 8, 2, 140, 54, 24, 88, 0, 3, 1, 1, 3, 100, 68, 4, 48, 6, 1981, 0.2442419640197287
154.32077385142662,2154.2823000000008,6, 8, 2, 140, 54, 24, 88, 0, 3, 1, 1, 3, 100, 68, 4, 48, 6, 1981, 0.2442419640197287
156.0254747432556,2098.3263000000006,6, 8, 2, 140, 54, 24, 88, 0, 3, 1, 1, 3, 100, 68, 4, 48, 6, 1981, 0.2442419640197287
160.87567876109546,1807.2333,6, 8, 2, 140, 54, 24, 76, 0, 3, 1, 1, 3, 100, 68, 11, 48, 6, 2120, 0.2418771111573618
161.6886956988978,1803.1263,6, 8, 2, 140, 54, 24, 76, 0, 3, 1, 1, 3, 100, 68, 11, 48, 6, 2120, 0.2418771111573618
169.68921313750153,1797.6693,6, 8, 2, 140, 54, 24, 76, 0, 3, 1, 1, 3, 100, 68, 11, 48, 6, 2120, 0.2418771111573618
177.68973057610526,1792.2123,6, 8, 2, 140, 54, 24, 76, 0, 3, 1, 1, 3, 100, 68, 11, 48, 6, 2120, 0.2418771111573618
