apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,112.76203643470464,4106.6003,71.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,112.76203643470464,4106.6003,51.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.07175745750236,4099.1463,52.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.07175745750236,4118.8713,50.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.07175745750236,4108.746300000001,64.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.07175745750236,4099.1463,70.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.07175745750236,4099.1463,72.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.3814784803001,4091.6923,69.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.3814784803001,4106.6003,73.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.3814784803001,4106.6003,53.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.3814784803001,4106.6003,65.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.3814784803001,4110.8923,75.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,113.3814784803001,4110.8923,63.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.0924049437742,4108.746300000001,76.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.0924049437742,4099.1463,66.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.0924049437742,4075.2573,68.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.0924049437742,4118.8713,54.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.0924049437742,4121.0173,62.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.0924049437742,4108.746300000001,74.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.80333140724832,4110.8923,61.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.80333140724832,4106.6003,77.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.80333140724832,4106.6003,55.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.80333140724832,4110.8923,59.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.80333140724832,4091.6923,67.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,114.80333140724832,4106.6003,57.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,116.11159131840648,4099.1463,78.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,116.11159131840648,4121.0173,60.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,116.11159131840648,4108.746300000001,58.0
9,8,3,173,75,81,37,0,3,2,1,1,118,67,38,70,6,2422,0.202652757810829,116.30324853222488,4099.1463,56.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,120.7013449393763,4111.4243,91.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,120.7013449393763,4015.8243,51.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,121.67041771598292,3994.0373,54.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,121.67041771598292,4122.853300000001,90.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,121.67041771598292,3994.0373,52.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,121.67041771598292,4105.8603,92.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,121.86147694077404,3994.0373,50.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4100.2063,77.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4111.4243,93.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4015.8243,55.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4100.2063,79.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4045.9903,61.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,3972.2503000000006,53.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4100.2063,81.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4111.4243,89.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4111.4243,87.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.63949049258954,4100.2063,75.0
9,8,3,173,75,81,37,0,3,2,1,1,118,60,38,70,6,2422,0.2026710160268233,122.83054971738068,4030.9073,56.0
