delta_fitness_via,delta_fitness_conc, apo, needSig, layers, alpha, monoPhago, NLCPhago, MPhago, MKill, cllDist, MonoDist, nlcDist, macroDist, nlcThreshold, signalInitMean, signalInitStd, diffTime, diffInitStd
120.36696792046601,591.0070984837002,4, 10, 1, 40, 0, 8, 1, 5, 1, 2, 2, 1, 104, 85, 6, 51, 14
121.34758636103857,589.8368824837003,4, 10, 1, 40, 0, 8, 1, 5, 1, 3, 2, 1, 104, 85, 6, 51, 14
121.79137185315523,565.9267344837001,1, 10, 1, 40, 0, 8, 1, 5, 1, 3, 2, 1, 104, 85, 6, 51, 14
123.8468991595232,560.1277034837,1, 10, 1, 40, 0, 8, 1, 5, 1, 3, 2, 1, 104, 85, 6, 51, 14
125.30555878953014,555.2647134837,1, 10, 1, 40, 0, 8, 1, 5, 1, 3, 2, 1, 104, 85, 6, 51, 14
126.84466263830808,540.2489954837,2, 10, 1, 49, 0, 10, 3, 5, 1, 3, 2, 1, 105, 83, 20, 53, 5
129.4711925758506,539.6845684837001,4, 10, 1, 40, 0, 7, 1, 5, 1, 3, 2, 2, 100, 85, 6, 51, 5
130.91679000822626,532.9943154837,4, 10, 1, 40, 0, 7, 1, 5, 1, 3, 2, 2, 100, 85, 6, 51, 5
131.07840964966178,531.3479604837,4, 10, 1, 40, 0, 7, 1, 5, 1, 3, 2, 2, 100, 85, 6, 51, 5
131.08059507751312,530.1291704837001,4, 10, 1, 40, 0, 8, 1, 0, 1, 3, 2, 2, 104, 85, 6, 53, 26
131.27980054455787,527.5882264836998,6, 10, 1, 40, 0, 8, 1, 5, 1, 3, 2, 1, 104, 85, 6, 51, 19
134.32109559230935,484.34807248370004,2, 9, 2, 49, 0, 10, 9, 2, 1, 1, 2, 1, 103, 83, 16, 57, 11
134.39932851565882,473.0305324837002,2, 9, 2, 49, 0, 10, 9, 2, 1, 1, 2, 1, 103, 83, 16, 57, 11
134.73760206085421,472.2349064837002,2, 9, 2, 49, 0, 10, 9, 2, 1, 1, 2, 1, 103, 83, 16, 57, 11
138.90581299565315,452.7243634837,1, 9, 1, 49, 0, 8, 3, 0, 1, 2, 2, 2, 105, 95, 18, 57, 16
140.47777449199418,433.2545174837,2, 9, 2, 49, 0, 10, 6, 2, 1, 1, 2, 1, 103, 83, 21, 53, 5
142.30984649174601,433.0171454836999,2, 9, 2, 49, 0, 10, 6, 2, 1, 1, 2, 1, 103, 83, 21, 53, 5
143.2267523250044,432.32208748370005,1, 8, 1, 49, 0, 8, 10, 2, 1, 1, 2, 1, 103, 100, 18, 59, 11
143.61751856623422,429.60512148370003,1, 8, 1, 49, 0, 8, 10, 2, 1, 1, 2, 1, 103, 100, 18, 59, 11
144.67662256695328,428.1882984836998,1, 8, 1, 49, 0, 8, 10, 2, 1, 1, 2, 1, 103, 100, 18, 59, 11
146.05072744917769,423.15268848370005,1, 8, 1, 49, 0, 8, 10, 2, 1, 1, 2, 1, 103, 100, 18, 59, 11
147.54301158696592,420.78339148370003,1, 8, 1, 49, 0, 8, 10, 2, 1, 1, 2, 1, 103, 100, 18, 59, 11
149.25838789529038,415.7843914837,1, 9, 1, 49, 0, 10, 4, 0, 1, 1, 2, 1, 103, 83, 6, 51, 18
149.93714488396841,414.6717754837,1, 9, 1, 49, 0, 10, 4, 0, 1, 1, 2, 1, 103, 83, 6, 51, 18
150.57725097908292,414.06171148370004,1, 9, 1, 49, 0, 10, 4, 0, 1, 1, 2, 1, 103, 83, 6, 51, 18
154.04777131353774,413.00824148370003,2, 9, 2, 49, 0, 6, 9, 2, 1, 2, 2, 1, 103, 95, 20, 53, 11
154.28471334290384,411.6972574836998,2, 9, 2, 49, 0, 6, 9, 2, 1, 2, 2, 1, 103, 95, 20, 53, 11
156.34248149732556,411.40222448369985,2, 9, 2, 49, 0, 6, 9, 2, 1, 2, 2, 1, 103, 95, 20, 53, 11
156.83725269294197,410.6789094837,2, 10, 2, 49, 0, 8, 10, 2, 1, 1, 2, 1, 103, 83, 21, 51, 1
156.8485110503371,407.31203348369996,2, 9, 2, 49, 0, 10, 9, 2, 1, 2, 2, 1, 103, 83, 20, 53, 11
157.96767380998276,405.90820648369987,2, 9, 2, 49, 0, 10, 9, 2, 1, 2, 2, 1, 103, 83, 20, 53, 11
159.5005283880151,404.8535124836998,2, 9, 2, 49, 0, 10, 9, 2, 1, 2, 2, 1, 103, 83, 20, 53, 11
159.69838931923798,397.0423744837,1, 8, 2, 49, 1, 8, 2, 3, 1, 1, 2, 1, 105, 93, 18, 53, 5
160.1880720218289,395.15585948370006,1, 8, 2, 49, 1, 8, 2, 3, 1, 1, 2, 1, 105, 93, 18, 53, 5
161.0602297492535,392.1071284837001,1, 8, 2, 49, 1, 8, 2, 3, 1, 1, 2, 1, 105, 93, 18, 53, 5
162.10750979706702,387.68457048369993,2, 9, 2, 49, 0, 10, 10, 1, 1, 1, 2, 1, 105, 95, 14, 57, 11
163.03545877276525,387.2726924837001,2, 9, 2, 49, 0, 10, 10, 1, 1, 1, 2, 1, 105, 95, 14, 57, 11
163.86794983704522,386.79254648370016,2, 9, 2, 49, 0, 10, 10, 1, 1, 1, 2, 1, 105, 95, 14, 57, 11
165.6575128368498,385.89997048370003,2, 9, 2, 49, 0, 10, 10, 1, 1, 1, 2, 1, 105, 95, 14, 57, 11
168.1326767712224,384.87882748370004,2, 9, 2, 49, 0, 10, 10, 1, 1, 1, 2, 1, 105, 95, 14, 57, 11
170.50526556782103,383.3739364836998,1, 8, 2, 49, 1, 8, 2, 3, 1, 1, 2, 1, 105, 93, 18, 53, 5
170.9016584960047,381.8437454837001,5, 9, 2, 49, 0, 6, 10, 1, 1, 2, 2, 1, 103, 95, 6, 53, 11
173.89487423931922,369.2061384836999,2, 9, 2, 49, 0, 8, 9, 2, 1, 2, 2, 1, 103, 98, 16, 53, 11
177.32529826548213,368.7546104836999,2, 9, 2, 49, 0, 8, 9, 2, 1, 2, 2, 1, 103, 98, 16, 53, 11
179.65112270149223,364.6363374836999,2, 9, 2, 49, 0, 8, 9, 2, 1, 2, 2, 1, 103, 98, 16, 53, 11
179.7391577252812,356.0336704836999,1, 9, 2, 49, 0, 8, 10, 0, 1, 1, 2, 1, 103, 95, 21, 50, 11
181.1169115493292,354.1675994837001,1, 10, 2, 49, 1, 10, 5, 0, 1, 1, 2, 1, 110, 95, 5, 53, 3
183.92022103118651,353.4243554837,1, 10, 2, 49, 1, 10, 5, 0, 1, 1, 2, 1, 110, 95, 5, 53, 3
185.50562072190345,341.92923648369987,1, 10, 2, 49, 1, 10, 5, 0, 1, 1, 2, 1, 110, 95, 5, 53, 3
192.85569454238876,341.65433448369987,2, 8, 2, 49, 1, 10, 5, 2, 1, 1, 2, 1, 104, 98, 20, 57, 1
193.03271979500084,340.9109044837,1, 9, 1, 49, 0, 5, 10, 4, 3, 2, 2, 2, 105, 95, 5, 57, 5
193.33096432495046,339.04282748369997,2, 8, 2, 49, 1, 10, 5, 2, 1, 1, 2, 1, 104, 98, 20, 57, 1
194.29240169882652,337.7874604837,1, 9, 1, 49, 0, 5, 10, 4, 3, 2, 2, 2, 105, 95, 5, 57, 5
194.58640156461013,337.39617648369995,1, 9, 1, 49, 0, 5, 10, 4, 3, 2, 2, 2, 105, 95, 5, 57, 5
194.95487982288606,330.4711144837,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 1, 103, 95, 3, 57, 6
195.8152244319704,328.39322848370006,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 1, 103, 95, 3, 57, 6
201.2287548208006,319.4584154837001,1, 8, 1, 49, 0, 5, 8, 4, 3, 1, 2, 2, 105, 95, 3, 53, 5
201.41233867572384,313.4108014836998,1, 8, 1, 47, 1, 5, 4, 4, 3, 1, 2, 2, 106, 92, 5, 53, 5
205.50062982054058,312.09888648369997,1, 8, 1, 47, 1, 5, 4, 4, 3, 1, 2, 2, 106, 92, 5, 53, 5
207.86071589702382,305.3944054837,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 94, 6, 53, 5
208.8516626105384,305.33605248370014,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 94, 6, 53, 5
208.89575791512618,304.50483748370004,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 94, 6, 53, 5
209.37447758396058,303.75627948370004,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 94, 6, 53, 5
211.94394506524063,303.1491804837,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 95, 5, 53, 5
213.09280275105428,302.0890764837,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 94, 6, 53, 5
214.15201951468327,299.3356914837,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 95, 5, 53, 5
215.4475461077324,298.91014448370004,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 94, 6, 53, 5
215.52087283605417,298.00263148370004,1, 8, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 95, 5, 53, 6
216.37412286580258,296.51240048370016,1, 8, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 95, 5, 53, 6
216.73740753653775,296.2350214837,1, 10, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 95, 5, 53, 5
217.69643067428012,295.9835414837001,1, 8, 1, 49, 1, 5, 4, 4, 3, 1, 2, 2, 105, 95, 5, 53, 6
