apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
6,10,2,79,96,78,100,0,3,3,3,3,143,31,25,66,46,2488,0.2647165774672706,127.26651555939,684.3536000000001,50.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,129.27046619263385,888.4406000000001,52.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,130.75630375662996,904.4316000000003,51.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,130.75630375662996,872.4495999999999,53.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,132.76008859289294,821.8296000000003,61.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,132.76008859289294,821.9915999999996,53.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,133.048494658202,888.4406000000001,54.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,133.048494658202,904.4926000000004,66.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,133.048494658202,888.4406000000001,50.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,135.34068555977404,904.4316000000003,55.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,135.34068555977404,904.4316000000003,65.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,135.34068555977404,904.4316000000003,69.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,135.34068555977404,904.4316000000003,63.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,135.34068555977404,904.4316000000003,67.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,136.8023233241271,889.3006,62.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,136.8023233241271,888.4406000000001,58.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,136.8023233241271,888.4406000000001,56.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,136.8023233241271,889.3006,68.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,136.8023233241271,889.3006,64.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,137.80096819022145,821.9105999999999,54.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,137.80096819022145,821.1415999999999,60.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,137.80096819022145,821.9105999999999,62.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,137.80096819022145,828.3465999999997,52.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,137.80096819022145,821.9105999999999,56.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,137.80096819022145,821.1415999999999,58.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,138.26396108848016,874.1695999999998,61.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,138.26396108848016,872.4495999999999,59.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,138.26396108848016,904.4316000000003,57.0
4,10,2,262,96,72,86,0,3,3,3,3,197,25,5,57,39,1464,0.281133611529022,139.15409724331823,786.1936000000003,50.0
4,10,3,262,96,72,86,0,3,3,3,3,121,25,5,57,39,1464,0.2678863992168003,141.4882912300364,873.3095999999998,60.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,142.84184778754997,821.9915999999996,63.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,142.84184778754997,821.9915999999996,55.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,142.84184778754997,821.8296000000003,59.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,142.84184778754997,821.9915999999996,51.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,142.84184778754997,821.8296000000003,57.0
4,10,2,4,96,48,100,4,3,2,1,3,123,30,17,57,7,1746,0.3067133307100599,142.93400224470437,535.3276000000001,53.0
4,10,2,4,96,48,100,4,3,2,1,3,123,30,17,57,7,1746,0.3067133307100599,142.93400224470437,535.3276000000001,51.0
4,10,2,4,96,48,100,4,3,2,1,3,123,30,17,57,7,1746,0.3067133307100599,142.93400224470437,535.3276000000001,59.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,144.0308821895067,828.3465999999997,64.0
3,10,2,121,95,72,93,0,3,3,3,3,197,42,22,69,39,1464,0.2926083402483432,144.0308821895067,821.9105999999999,50.0
4,10,2,262,96,72,86,0,3,3,3,3,197,25,5,57,39,1464,0.281133611529022,144.52546742210458,774.0556000000005,51.0
4,10,2,262,96,72,86,2,3,3,3,3,167,72,5,57,39,2038,0.2797344239607524,145.13834763480423,656.7105999999999,52.0
4,10,2,262,96,72,86,2,3,3,3,3,167,72,5,57,39,2038,0.2797344239607524,145.13834763480423,656.7105999999999,50.0
4,10,2,4,96,48,100,4,3,2,1,3,123,30,17,57,7,1746,0.3067133307100599,147.2200286965338,534.3706000000001,50.0
4,10,2,4,96,48,100,4,3,2,1,3,123,30,17,57,7,1746,0.3067133307100599,147.2200286965338,534.3706000000001,52.0
