mono	Patient1	Patient2	Patient3
20	nan	nan	29.5449130331189
10	41.7910447761194	39.5522388059701	25.7326661901358
7.5	43.7810945273632	44.2786069651741	nan
5	43.2835820895522	30.3482587064677	40.7433881343817
2.5	40.547263681592	33.0845771144279	57.6602335001191
1.25	62.9353233830846	48.0099502487562	74.5770788658566
0.63	71.3930348258706	72.636815920398	96.4974982130093
0.31	100.995024875622	61.1940298507463	98.6418870621873
0.16	93.0348258706468	89.5522388059701	98.4036216345008
0.08	nan	nan	90.3025970931618
0.04	113.432835820896	98.5074626865672	93.1617822253991
0.02	nan	nan	100.142959256612
0.01	nan	89.5522388059701	nan
0	100	100	100
