apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,299.5185053744219,1642.9999999999998,59.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,301.4602256858717,585.4349999999997,58.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,301.4602256858717,588.2649999999999,52.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,301.50950727459974,591.0150000000001,66.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,302.1565448609072,1625.5899999999997,58.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,304.79458434739246,1642.9999999999998,57.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,305.512235975909,590.5900000000003,51.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,305.512235975909,585.9399999999996,59.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,305.512235975909,590.5900000000003,65.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,307.34139180737964,587.3,62.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,307.34139180737964,591.0150000000001,50.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,307.34139180737964,588.2649999999999,60.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,307.34139180737964,589.5250000000001,64.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,309.17054763885034,588.46,61.0
3,7,3,118,28,14,11,1,2,3,1,1,126,6,31,65,40,1889,0.3460551977250262,309.17054763885034,588.46,63.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,313.0876671402315,1188.4050000000002,62.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.5864750219455,1191.63,61.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.5864750219455,1191.63,63.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.5864750219455,1191.63,51.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.5864750219455,1185.1800000000003,53.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.9828422554941,1193.2600000000002,64.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.9828422554941,1193.2600000000002,66.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.9828422554941,1182.605,72.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,316.9828422554941,1193.2600000000002,60.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.15769790171817,1193.2600000000002,50.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.15769790171817,1188.4050000000002,54.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.15769790171817,1193.2600000000002,58.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.15769790171817,1188.4050000000002,56.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.3792094890427,1191.63,67.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.3792094890427,1194.89,65.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.3792094890427,1185.1800000000003,71.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.3792094890427,1185.1800000000003,73.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.3792094890427,1194.89,59.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.55406513526674,1188.4050000000002,74.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.55406513526674,1193.2600000000002,68.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.55406513526674,1188.4050000000002,70.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.7289207814908,1191.63,69.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.7289207814908,1191.63,75.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.7289207814908,1185.1800000000003,55.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.7289207814908,1191.63,57.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,317.9612074040496,1193.2600000000002,76.0
0,3,1,62,80,6,18,5,2,2,3,2,98,1,19,67,17,1096,0.4190738060339315,318.19349402660845,1194.89,77.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,344.1587726642214,576.7349999999999,50.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,352.7367531149053,578.5999999999999,53.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,352.7367531149053,580.0300000000001,51.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,355.12973179536834,572.31,56.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,355.12973179536834,576.0199999999999,54.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,355.12973179536834,576.7349999999999,52.0
9,9,3,104,44,79,0,0,3,3,1,3,127,30,11,65,47,2208,0.3653000090394169,357.52271047583133,573.4399999999998,55.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.1508649986168,580.0700000000002,61.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.35839834598914,576.7950000000001,62.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.35839834598914,576.7950000000001,60.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.5659316933615,580.0700000000002,63.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.5659316933615,580.0700000000002,59.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.5659316933615,580.0700000000002,65.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.6007696961515,577.5550000000001,66.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,362.6356076989415,580.0700000000002,67.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,363.14926514779336,581.0800000000002,58.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,363.1841031505834,577.5550000000001,68.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,363.7325986022253,580.0700000000002,69.0
