delta_fitness_via,delta_fitness_conc, apoCellsMovementProba, needSigCellsMvtProba, layersAroundNLC, antiApoBoost, monoPhagoEff, nlcPhagoEff, macroPhagoEff, macroKillEff, cllSensingDistance, monocyteSensingDistance, nlcSensingDistance, macrophageSensingDistance, nlcThreshold, signalInitMean, signalInitStd, monoDiffThreshold , monoDiffTimeStd, gammaLifeInitRate, gammaLifeInitShape
94.8385982542762,2195.1559,7, 3, 3, 256, 22, 72, 99, 1, 2, 3, 2, 2, 204, 51, 19, 68, 37, 1929, 0.171600621342632
95.02363548380742,1901.7119,1, 3, 3, 66, 23, 72, 94, 1, 1, 3, 1, 2, 204, 6, 19, 64, 26, 2353, 0.1657657944518167
95.54011911114692,1896.5979,1, 3, 3, 66, 23, 72, 94, 1, 1, 3, 1, 2, 204, 6, 19, 64, 26, 2353, 0.1657657944518167
95.99569892161892,1892.1969,1, 3, 3, 66, 23, 72, 94, 1, 1, 3, 1, 2, 204, 6, 19, 64, 26, 2353, 0.1657657944518167
118.611020045289,1252.2388999999998,3, 0, 3, 263, 14, 2, 78, 1, 2, 3, 3, 2, 115, 39, 19, 50, 20, 2353, 0.191432516915222
126.72640186085412,1109.9939,3, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.1991243103950647
127.88754411675322,1102.8549,3, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.1991243103950647
129.04868637265233,1095.7159,3, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.1991243103950647
129.09801938446702,1092.5459,3, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.1991243103950647
165.6245271106318,981.7239000000002,3, 0, 1, 263, 14, 2, 78, 0, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.2066041865160263
165.9013009314699,969.6519,3, 0, 1, 263, 14, 2, 78, 0, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.2066041865160263
166.59282398032843,968.7339,3, 0, 1, 263, 14, 2, 78, 0, 2, 3, 2, 2, 115, 51, 19, 50, 10, 2353, 0.2066041865160263
191.1235985356961,966.0119,9, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 51, 38, 50, 10, 2353, 0.2126781077162671
192.2039516186078,959.6518999999996,9, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 51, 38, 50, 10, 2353, 0.2126781077162671
192.71835283308707,924.5798999999996,9, 5, 2, 263, 14, 2, 78, 0, 2, 3, 3, 2, 115, 52, 38, 50, 10, 2353, 0.2080529789956539
200.0487813751617,923.8079,9, 0, 3, 263, 14, 2, 78, 1, 2, 3, 2, 2, 115, 52, 38, 50, 10, 2353, 0.2134607635105226
203.81406041454488,896.7259000000001,9, 8, 1, 256, 14, 2, 78, 1, 1, 3, 2, 3, 115, 52, 19, 69, 36, 2353, 0.1974129075676744
205.8890676188754,896.2849000000001,9, 8, 1, 256, 14, 2, 78, 1, 1, 3, 2, 3, 115, 52, 19, 69, 36, 2353, 0.1974129075676744
