apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,94.8385982542762,2195.1559,65.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,94.8385982542762,2227.0699000000004,77.0
7,3,3,76,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.1669059613655575,94.8910730984474,2400.3259000000003,50.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.02363548380742,1901.7119,50.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.07467749764308,2211.1129,80.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.07467749764308,2211.1129,78.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.07467749764308,2211.1129,76.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.31075674100998,2227.0699000000004,79.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.31075674100998,2195.1559,75.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.31075674100998,2227.0699000000004,81.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.54011911114692,1896.5979,51.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.54011911114692,1896.5979,55.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.54011911114692,1896.5979,53.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.63940511064708,2188.3689000000004,74.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.63940511064708,2188.3689000000004,64.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.63940511064708,2188.3689000000004,70.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.63940511064708,2188.3689000000004,66.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,95.87548435401398,2240.7219000000005,82.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.99569892161892,1901.7119,54.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.99569892161892,1901.7119,56.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.99569892161892,1892.1969,52.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,95.99569892161892,1901.7119,58.0
7,3,3,76,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.1669059613655575,96.26399453659384,2402.9639,51.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,96.44021196701796,2181.5819000000006,63.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,96.44021196701796,2181.5819000000006,67.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,96.44021196701796,2195.1559,73.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,96.44021196701796,2181.5819000000006,69.0
7,3,3,256,22,72,99,1,2,3,2,2,204,51,19,68,37,1929,0.171600621342632,96.44021196701796,2181.5819000000006,71.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.45127873209093,1896.5979,57.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.45127873209093,1896.5979,63.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.45127873209093,1896.5979,61.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.45127873209093,1896.5979,59.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.6227571277528,1901.7119,60.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.6227571277528,1901.7119,64.0
1,3,3,66,23,72,94,1,1,3,1,2,204,6,19,64,26,2353,0.1657657944518167,96.6227571277528,1892.1969,62.0
